Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
1		AG03_01	PM10	16.76174204	4.619709168	16.41613098	1.279418424	658	42.64566004	0	8.61678496	9.79353115	29.63913679	1.25711197	2.435454167	1.809559204	1.543439832	0	0.021324817	2.033675835	0	0.204326632	0	
3		AG03_01	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	31	20.93959898	17.61292219		9.812931716		0.01250459	39.55338299		0.24942446	0.623969221	0	0	0	0	11.19526401	
6		AG03_01	PM2.5	4.469797876	2.385607556	10.89722006	2.114139758	181	41.60775244	3.154468536		7.673145086		0.510870013	0		0.344068883	0	0.124858471	2.720800973	0	3.575843573	0	40.28818607
7		AG03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	37.25646436	13.29419315		0		0.013244605	10.61636731		0	0	0	0	0	34.25411582	4.565610737	
9		AG03_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	29	78.53320241	0		0		0	17.58262515		2.337132022	0	0	0.597485621	0.246860157	0.308776041	0.393919833	
8		AG03_01	PM2.5	0.782214628	0.997971241	3.322994383	1.123371539	33	66.21066928	0		1.548968907		0.007691108	19.3064779		2.898599021	7.699155807	2.122664265	0	0	0	0.205781055	
11		AG03_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	16	62.54938841	0		0.336632575		0.03028785	0.050229899		0	0	0	0	0	0	37.03346252	
12		AG03_01	PM2.5	4.69328777	2.444520318	8.284963152	1.163842238	140	81.42555952	0		3.018127568		0	9.5208399		0	0	6.035479531	0	0	0	0	
