Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	Be Wt%	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Mo Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
103		CM01_03	PM2.5	1.676174204	1.46088031	5.038866433	1.205415236	73		71.56707048	4.371834919	8.845368028			0	0			0	0.426339312	0	0	1.750769652	0	13.0386129
105		CM01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	21		26.25875175	66.4578557	0			0	3.179768473			0.369506981	0.396394543	0.445965491	0.506891543	0.618111715	0.775323436	0.991423987
107		CM01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14		9.829080105	0	1.488402858			0.011088533	0.016596669			0	9.888389707	24.61751401	50.06887317	3.801112622	0	0.278941984
109		CM01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	4		9.26361382	0	0.01127725			0.014555326	0.021557025			0	29.17729616	18.47033799	0	0	34.12058651	8.920771629
108		CM01_03	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	70		55.1330626	19.7442472	15.14374912			0	9.978941828			0	0	0	0	0	0	0
111		CM01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	44		57.42877126	20.43198943	0			4.845225066	0.256409007			0	0	0	0	0	4.266526923	12.77108043
110		CM01_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	31		61.06193066	0	6.264345348			14.15322274	7.088630646			6.847516447	4.584347084	0	0	0	0	0
112		CM01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	10		0	32.76563883	27.35110819			0	36.42713428			0.341484533	0.339600374	0.379381073	0.42797639	0.515394611	0.640226807	0.81205368
113		CM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9		18.35320592	0	0			0.05228949	0.077968527			0	0	0	0	0	81.51654005	0
114		CM01_03	PM2.5	0.558724735	0.84343964	3.508641765	1.753356774	36		42.30038524	18.9293921	11.22415662			13.24640214	0.732843205			1.299174689	1.163046993	0.75797271	3.569162264	0	0	6.777460873
116		CM01_03	PM2.5	2.570133779	1.808976496	8.022418106	1.992714089	105		31.92561567	38.3965075	0			4.140266404	11.71194986			0	0	8.424517512	5.401140079	0	0	0
117		CM01_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	62		49.30242002	2.668723278	3.056667			10.36571041	12.9317075			5.594146624	2.627216093	0	0	0	0	13.45341802
120		CM01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	17		26.22790635	6.023931131	1.405494474			0.270036166	0.016403942			1.144710463	44.34963763	18.21286678	0	0	0	2.349017933
