Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
39		PD02_01	PM2.5	4.805032717	2.473450559	9.290097728	1.429336066	176	49.48937893	0		1.138054114		1.942656748	27.371943			0	6.55695349	4.205464572	4.373678938	0	4.921861738	0
36		PD02_01	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	82	31.76831603	4.690028355		1.296243165		0.004010521	0			0	10.55062413	4.260035232	11.76879928	0	14.5472616	21.1146757
38		PD02_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	43	55.07486463	11.79166511		6.604509056		0.006413279	13.55986893			2.53970474	0	0	0	0	4.779542983	5.64343147
40		PD02_01	PM2.5	1.340939363	1.306651072	4.065583912	0.980904789	64	0	12.79122233		3.209002689		0	13.54123652			0.99307932	0	0	0	0	14.61637765	54.84908223
41		PD02_01	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	113	12.58424222	0		0.662941998		0	0			0	21.52395844	18.42798591	0.039210918	0	37.67744303	9.08421278
43		PD02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	45	30.60361147	16.27001762		0		0.548697449	1.363074314			13.83030117	34.26416516	0	0	0	3.12014129	0
44		PD02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	12.67755032	3.7553031		0		0.010460761	11.2795867			24.03042316	19.9631542	0	0.074904948	0	1.638267189	26.57034695
46		PD02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	26	18.28113496	23.03349227		6.457855552		0	9.264182299			0	0	0	0	0	15.77907652	27.18426287
47		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	38	0	3.566895425		0		1.059477497	0			0	0	0	0	0	36.59684956	58.77677798
45		PD02_01	PM2.5	2.123153991	1.644166543	5.93525129	1.320343293	75	67.49928594	0		0		0.754153589	20.99780738			1.61730051	0.706558395	0	0.569063844	0	0	7.855840027
48		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	0	36.86676919		8.274316043		4.095132276	16.55603349			0	0	28.392452	0	5.815300718	0	0
50		PD02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	32	23.71328473	12.83252388		6.258163601		0	0.387732312			0.572397932	1.183351222	0.680767326	0.343572884	0	45.74751258	8.280690759
49		PD02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	0	0		52.96515822		0.801500678	1.232596673			4.141529649	4.415079951	4.924343154	5.572794378	6.751630455	8.444286883	10.75108498
51		PD02_01	PM10	6.369461974	2.847779989	9.552642774	1.140077728	244	32.96068013	1.178834029		0		0	0		55.51947951	2.623955533	5.092017353	2.625026554	0	0	0	0
52		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	55.08929491	0		0		0.095079845	37.03233004			0	0	2.656991035	0	1.182059105	2.21976079	1.724493876
54		PD02_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	22	73.9829421	21.99578583		0.043906932		0	0.080698769			0.29028689	0	0	0.410549343	3.19583565	0	0
61		PD02_01	PM10	5.475502398	2.640383718	9.366995392	1.27516615	176	33.00718367	2.864893712		3.911067173		0.106769707	5.360580236			15.85116237	18.93607974	3.703416884	0	0	16.25885218	0
62		PD02_01	PM10	7.486911443	3.087496027	10.0008352	1.063065396	267	47.31522799	18.33932698		9.730640054		0	2.822971717			8.337010443	5.264689028	0	0	0	8.190128207	0
57		PD02_01	PM2.5	3.799328195	2.199421492	8.470610535	1.502840026	132	68.93799305	0		1.354237646		0	0			23.24065715	3.40247266	0	3.064640611	0	0	0
59		PD02_01	PM2.5	2.90536862	1.923338301	7.651123341	1.60339048	130	36.00262105	8.81683901		10.79500765		1.43501563	3.617942706			15.24837464	23.2253328	0	0	0.858857576	0	0
63		PD02_01	PM2.5	4.581542823	2.415243569	8.656257917	1.301483785	174	33.0358386	0		1.765950769		0	0			0	15.05801678	0	0	0	20.45216262	29.68803048
64		PD02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	43	76.55273676	0		19.66304332		0	2.86557842			0	0	0.248464476	0.109161146	0.132924214	0.215107482	0.212977943
65		PD02_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	43	52.55020261	8.744715899		25.79649985		0.02460067	0			4.373746365	0	0	7.45536238	1.054868381	0	0
67		PD02_01	PM2.5	1.899664097	1.555225852	5.93525129	1.475677798	98	36.91470027	11.22623011		9.717401117		0.065488945	0.604502624			0	0	5.19971475	6.353025138	13.71282786	6.81873858	9.387374669
68		PD02_01	PM10	26.59529736	5.819122297	30.26505065	2.740741625	721	64.94221091	21.02593929		2.183856443		0.817118399	7.109577954			2.542774566	1.37852598	0	0	0	0	0
69		PD02_01	PM10	6.369461974	2.847779989	13.06128454	2.131371568	255	69.34661269	0		17.62408614		0.428440003	3.708979115			0	0	0	8.891893178	0	0	0
72		PD02_01	PM2.5	4.246307982	2.325202624	7.574225677	1.075115512	145	36.49272323	0		0		0	13.51810098			1.941515505	4.298051447	6.198013574	7.774408162	14.07746822	0.968900789	14.73082006
73		PD02_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	56	65.35121202	0		1.330359001		1.327404752	11.29953042			0	0	6.192317978	0.094720878	14.40444887	0	0
71		PD02_01	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	86	19.55523491	10.30068621		0	29.10000086	0.337978825	3.645295277			0	0	0	0	13.50191832	22.65225053	0.906630512
74		PD02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	29	77.5604248	0		20.16137391		0.030262809	0.118686387			0.191723171	0.20567039	0.231493544	0.263052736	0.320683094	0.402238546	0.514386129
76		PD02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	41	42.63896942	0		0		11.17448509	0.030590736			5.505166948	0	0	13.44376653	0	0	27.20701993
77		PD02_01	PM2.5	0.893959575	1.066876133	4.481924286	1.788139047	53	24.4722113	12.28829771		1.504367497		0.207462045	1.435256843			0	0	0	0	0	7.524198294	52.56819725
80		PD02_01	PM2.5	4.805032717	2.473450559	8.918802963	1.317367442	134	40.94722867	43.75829995		11.0797964		0.018924172	0			0	0	0	0	0	4.195750877	0
79		PD02_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	37	62.97282577	0		0		6.034030765	0.05301169			0	0	0	0	11.70555428	19.23457831	0
78		PD02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	43	74.58808422	0		19.22124624		0.01940736	0			6.171263382	0	0	0	0	0	0
81		PD02_01	PM10	9.610065434	3.497987327	12.95253482	1.389227361	393	43.11805964	0		1.975284517	39.15257454	0.227906508	2.004242502			1.797391288	0.519510824	0	3.485117853	0	2.574523538	5.145393685
83		PD02_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	15	0	53.62197757		28.53397429		12.54327595	0.135235826			0.470566982	0.503187999	0.56463005	0.639996445	0.776954275	0.971418619	1.238774229
84		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	0	71.1232543		0		0.426192721	0.716667343			2.505313978	2.685491741	3.009753115	3.422394395	4.174591601	5.239728093	6.696607172
85		PD02_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	36	20.43964565	0		3.985778987		0.828620605	1.631679758			4.300412908	0	0	11.59941852	0	50.5218327	6.692603976
