Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
72		AM02_03	PM2.5	1.78791915	1.508790696	5.487058862	1.340051527	73	19.72554028	0	24.77320284		0		0.684850384			0.627734745	15.02857953	12.50962019	0	0	0	26.65047348
74		AM02_03	PM10	7.375166496	3.06436839	10.10958492	1.102770034	249	27.32792795	7.912234962	16.44208282	12.81007826	0		1.553246379		32.33888149	0	1.423191093	0	0.192356715	0	0	0
75		AM02_03	PM2.5	1.899664097	1.555225852	5.858353627	1.43768747	79	39.34545517	5.075076967	0.267595332	26.45272911	1.529031154		0.655412814			3.942770138	9.416084737	0	0	0	0	13.31583112
76		AM02_03	PM10	11.62147448	3.846676601	13.17003426	1.187688941	401	29.41996157	7.103896141	16.79886281	19.66196746	0.019181528		0			5.22631146	7.459718734	5.464708433	8.102381229	0	0	0.743003562
78		AM02_03	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	44	61.18535995	0	0		0.015441116		0			0	0	4.087362811	0	27.34981775	0	7.362021506
77		AM02_03	PM2.5	0.558724735	0.84343964	3.431744101	1.677343577	44	50.76522827	21.203655	18.18827391		0.382528757		0			1.775924303	3.042758442	0	0	0	4.641630873	0
80		AM02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	53	51.48098469	0	15.68422467		0.00632342		0.417492492			0	0	8.690821379	10.85226387	7.52139166	5.346498638	0
81		AM02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	43.00398529	0	0		1.270965394		7.262469083			0	36.69796586	9.05136019	0	0	0.647332892	2.065924369
82		AM02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	92.44913459	0	5.866053328		0.022253429		0.04034841			0.145525869	0.156272668	0.176051934	0.200220663	0.2444237	0.306899357	0.392808812
83		AM02_03	PM2.5	0.558724735	0.84343964	3.508641765	1.753356774	13	46.38563395	0	0		1.085668895		0			0.123998488	0.428717909	2.571275644	2.584222518	6.398751587	0	40.4217273
84		AM02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	16	0	0	5.385143682		0		0.043672809			85.7973516	0	0	3.688502684	0	0	5.085322261
85		AM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	49.18710589	6.611252576	11.10123768		0.009795617		20.58691084			0	0	1.962273568	0	10.54141298	0	0
86		AM02_03	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	48	64.41961527	9.169972688	16.95557535		0.020349152		0.788783096			1.944599114	2.232832462	0.717349024	0	0	3.750907257	0
87		AM02_03	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	66	53.43384147	0	4.161515832		0.033192683		1.267673168			0	0	0	11.42371818	0	29.68004644	0
88		AM02_03	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	26	42.55196452	3.060595877	11.09617725		0		0.013058771			0	0	0.369085977	0	0.0732705	36.22001112	6.615830958
89		AM02_03	PM2.5	1.676174204	1.46088031	5.487058862	1.429388295	97	44.38848794	24.3714124	0		0.248775701		0			0	0	10.55416688	0.49163592	8.1264548	0	11.81907505
90		AM02_03	PM2.5	2.793623673	1.88598837	6.044001009	1.040569974	101	32.73385167	13.28179389	2.037949115	32.65208602	1.171656977		2.291351929			5.861245468	5.31071946	0	0	0	4.659340531	0
92		AM02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	26	52.58390307	0	44.72835064		0.036505185		0			0.380343338	0.301816082	0.264291954	0.299889292	0.364791532	0.456797378	0.583301112
91		AM02_03	PM2.5	2.793623673	1.88598837	6.120898673	1.067216704	114	48.24950397	13.15288246	0		1.946789026		14.84801322			2.594710886	9.656187892	2.695801109	6.856119633	0	0	0
94		AM02_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	35	49.56573546	0.912384223	0.329439202		5.56557104		0.012402455			29.08646762	11.63565814	0	2.892338671	0	0	0
93		AM02_03	PM10	13.74462847	4.183324574	14.48275949	1.214394434	644	49.44649637	1.412312128	0	39.37760293	0.019204033		0			2.604534477	2.550880797	0	0	0	0	4.588971287
95		AM02_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	45	32.89373219	0	0		0.824986957		4.558688402			0	4.867171869	9.266503155	1.160837151	4.750513285	3.190317005	38.48726153
97		AM02_03	PM10	8.380871018	3.26662768	14.32896416	1.949532915	267	47.15847075	5.902106315	9.371744841		0		1.262068003			0	0	0	0	0	9.582711011	26.72290206
98		AM02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	27	36.71147823	13.30892444	13.62734437		0		24.93758351			0	0	6.41541183	0	0.947862212	2.799479291	1.251915842
99		AM02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	32.8215003	0.761671038	14.09165263		15.13340771		0.307141896			0	0	5.208941549	10.92291474	11.49462089	9.258147329	0
100		AM02_03	PM2.5	2.793623673	1.88598837	6.229648392	1.105475964	92	24.47916567	11.12445816	0		0		0			31.03505373	24.83002394	4.663806409	3.867494315	0	0	0
101		AM02_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	72	58.33981633	0	8.416488767		0.647527725		0			0	17.38850027	4.455319047	9.569317847	0	0	1.183027402
102		AM02_03	PM2.5	1.899664097	1.555225852	5.672706244	1.348012472	56	59.44359303	0	13.5618031		0.431768969		9.992611408			5.168510228	0	0	1.938224025	0	9.46348384	0
104		AM02_03	PM2.5	2.681878726	1.847883667	6.306546055	1.180141667	111	12.13564128	11.2380825	32.6510191		1.549618039		2.671108581			0	0	7.023367286	32.7311635	0	0	0
103		AM02_03	PM2.5	2.011409044	1.600314199	5.410161198	1.158004236	97	70.88609338	12.20930219	12.67779469		0.333542144		0			1.447820198	0	0	0	0	2.44544372	0
