Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Ru Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
48		AI01_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	43	0	0		14.27503973		9.430325031	8.354192972		0	11.66872829	45.5270052	1.422360539	0	9.322346002	0
49		AI01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	22	15.89078754	4.40922603		0.344515988		4.25918065	6.323926151		11.01268157	17.5592646	27.17793286	0	5.384925008	3.718196228	3.919355944
50		AI01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	34.65705514	50.29695034		0.319839269		13.11465055	0.04005917		0.142087031	0.152249902	0.171232328	0.194370875	0.236553419	0.296351872	0.378601858
51		AI01_01	PM2.5	3.687583248	2.166835669	11.79360492	3.001521458	164	54.50389981	17.19955504		0		0	1.297921967		14.95962441	1.198879164	0	10.84011793	0	0	0
52		AI01_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	54	44.97299492	28.78136337		1.716373488		23.15347642	0.147563603		0.595938275	0.333249429	0	0.052689627	0.064023677	0.080106326	0.10220987
56		AI01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	26	25.02373457	47.69362211		2.070748433		0.013049331	2.144773118		1.105608698	3.542449698	0	0	0	18.40601265	0
55		AI01_01	PM10	9.833555328	3.53842783	12.16489968	1.197558214	291	20.65815032	0	32.61652291	0		34.62022245	5.945446715		0	0	5.432073772	0	0.727589987	0	0
53		AI01_01	PM10	8.269126071	3.244777082	12.24179735	1.442184735	396	49.02763665	0.982961804		2.030155249	31.99520409	0	0.40161442		0	0.22735591	6.195937097	0	4.846673459	4.292460904	0
54		AI01_01	PM10	6.592951867	2.89731031	9.738290157	1.144657746	263	13.40573579	2.80073043	23.36903661	0.297948439		16.53676778	0.785565283	28.57739329	5.585160106	3.983687237	4.163522646	0.494457455	0	0	0
58		AI01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	26	77.05279589	2.679008991		17.36345589		0.025998845	1.034700125		0.166075223	0.178146781	0.200520596	0.227836892	0.277717551	0.348325213	0.4454243
57		AI01_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	21	24.31314588	15.58981985		9.152624756		43.87377501	0.039447029		0.133849657	0.142634974	0.28817032	0.180398358	0.324629433	0.767691247	5.193810165
59		AI01_01	PM2.5	1.340939363	1.306651072	4.853219051	1.397786314	55	32.19727874	22.53007442		0		14.93304819	0		1.839129813	7.024911046	10.29668003	11.1788854	0	0	0
