Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		CA01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	27	0	0	0		23.61481786		0.039800888	22.58155346	38.87107372	0	0	7.35674873	5.154536664	2.381466888
12		CA01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	32	72.04551697	0	2.071599104		0		4.390586168	2.280865237	0	0	19.21143085	0	0	0
17		CA01_02	PM10	36.42885269	6.81048132	33.85059008	2.503093831	1091	62.58382201	0	8.174247295	5.833846703	0		23.29713106	0	0.110952661	0	0	0	0	0
33		CA01_02	PM10	26.03657263	5.75767261	38.62691147	4.560225197	899	55.4715097	6.737086177	11.76665351	19.58472431	0		1.344128139	0	0	0	0	0.686569605	4.409329593	0
37		CA01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	70.68724036	0	0		0.0060609		18.62575859	2.679593116	0	0	8.001340181	0	0	0
38		CA01_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	21	65.12735486	0	0		0.008567037		33.21118653	0	0	0	0	0	1.652895287	0
41		CA01_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	70	65.19405246	0	0.611845544		0.228629261		18.91622543	0	0	0	5.45139946	0	8.101624995	1.496224012
40		CA01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	25	42.38621891	0	0		0.020837583		10.57140529	0	0.253290124	2.947754413	2.376903594	0	34.82784927	6.61573559
42		CA01_02	PM2.5	0.558724735	0.84343964	3.137347	1.401901013	63	29.10269201	11.68605834	0		1.907866634		14.3649891	0	0	6.252904981	7.871264964	2.398758009	3.701433539	22.71402329
