Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
30		CB01_02	PM2.5	1.45268431	1.360005555	6.044001009	2.001096105	37	22.17033356	0.096792815			3.713013977		0		0.023102899		0	0	0	0	51.25060678	18.62458736	4.121576622
33		CB01_02	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	45	10.04470587	21.42840922			2.415138111		0.011168625		0.017062179		0	0.059333612	1.319719944	0.343041145	4.876561835	0	59.48485732
34		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	12.37535477	0			0		0.006803377		7.453748584		0	11.25361472	19.25788671	0	1.53861139	37.61754036	10.49643978
36		CB01_02	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	52	54.28640246	7.755421847			0		0		0		1.9824218	4.256816581	0	0	0	31.71894252	0
39		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	99.40697551	0			0		0		0.061639451		0.223570783	0	0	0.307815569	0	0	0
41		CB01_02	PM2.5	4.805032717	2.473450559	7.836770723	1.017110339	167	33.10842514	0			0		0.069739972		2.676008083	46.20147347	0	0.341099896	5.320451781	11.01015136	1.272657886	0	0
44		CB01_02	PM2.5	1.340939363	1.306651072	3.956834194	0.929130466	49	36.35682762	15.83248824			1.132588647		1.096757036		3.156831488		0	0	5.214868113	13.29859048	13.06442469	10.84662676	0
51		CB01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	15	26.34096146	68.46282482			1.366603468		0.062134815		0.092066563		0.330151943	0.354418787	0.398944458	0.453718798	0.553787034	0.695084222	0.889299903
54		CB01_02	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	31	53.32392454	26.03670359			1.404009573		1.998996548		16.24931842		0.155563315	0.089043792	0.100009481	0.113349536	0.137604284	0.172046444	0.2194345
56		CB01_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	26	65.51975012	0			16.54671431		0		0.052616221		3.860757872	2.629907615	0.738576194	10.65168083	0	0	0
57		CB01_02	PM2.5	3.911073142	2.231531534	8.022418106	1.30949783	101	49.21049476	20.15014738			0.574936997		0		0.901159458		8.028586209	7.122127712	0	0	0.58717262	0.737917656	12.68746406
61		CB01_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	38	56.93994761	11.19231209			3.234432265		0.27851807		4.368311539		0	4.406194016	1.356548071	0	13.05650622	4.198239744	0.968998019
63		CB01_02	PM2.5	4.246307982	2.325202624	9.027552682	1.527280156	172	41.01630151	12.01233044			0.587921822	32.44392872	2.253730781		0		1.293451805	0	4.733729362	5.658608302	0	0	0
64		CB01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	12	0	19.09403503			78.50037217		0.037738864		0.061039912		0.210947776	0.225336407	0.252736011	0.286171702	0.346823758	0.433068164	0.551733514
65		CB01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	29	21.46572471	19.07815337			4.375319555		0.224310602		1.158706844		0	0	7.681708038	43.91876459	2.097315714	0	0
67		CB01_02	PM2.5	0.782214628	0.997971241	3.771186811	1.446839294	26	87.77218461	0			9.064896405		0.461457856		0.065845629		0.236669672	0.254084379	0.28610772	0.325360708	0.397100765	0.498463493	0.637819944
69		CB01_02	PM10	12.29194416	3.956082581	13.32382959	1.149284887	372	51.69143677	8.127666265			10.80162302	17.24712551	0.571427168		0		1.142808981	9.576688707	0	0	0	0.047168141	0.794047769
71		CB01_02	PM2.5	3.017113566	1.959976608	7.202930912	1.368412324	92	48.67283404	0			0.407113647		0		1.613940485		0	2.882758155	11.38752028	35.03582776	0	0	0
73		CB01_02	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	63	47.79060483	4.324524105			4.327909648		0		0.429739058		13.36148083	10.9628275	1.304190606	7.227891684	0	8.136880398	2.133950219
77		CB01_02	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	113	37.20237911	7.966057956			3.789616749		0.474689901		0		2.739200369	0	0	0	0	0.066924008	47.76114523
79		CB01_02	PM2.5	3.352348407	2.065996747	6.67784082	1.058554232	107	55.89865446	0			27.62982249		2.719063126		0		0	0	0	0	0	13.75246346	0
78		CB01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	67.3961103	17.32820719			0		0.010934937		2.709531412		2.321501449	6.781788915	2.77800411	0.096597214	0	0.577318016	0
84		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	25.34318268	69.18853521			0.397551665		0		0.123988022		0.444230111	0.476932153	0.536718732	0.610557245	0.74542542	0.935703609	1.197177824
86		CB01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	12	96.82767391	0			0		0.041564053		0.075734517		0.273562525	0.293932878	0.331101799	0.376845337	0.460500363	0.578463497	0.740613416
92		CB01_02	PM2.5	1.78791915	1.508790696	7.01728353	2.191695967	59	57.05310702	1.449812111			7.009149343		0		0		0	3.193294257	0	0	13.69894892	0	17.59568453
94		CB01_02	PM2.5	2.793623673	1.88598837	9.738290157	2.701392281	121	69.30015683	0			6.520327181		0		0		20.82712501	0	0	3.352382779	0	0	0
93		CB01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	61.73565388	33.17722678			3.443286195		0.103425479		0.037459994		0.134919409	0.144855108	0.163170637	0.185536535	0.226430711	0.284255692	0.363769545
100		CB01_02	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	44	32.81098306	64.91482854			0.813613832		0.019993646		0		0.129380706	0.138890487	0.156438863	0.177861005	0.217023748	0.272412156	0.348576764
103		CB01_02	PM2.5	0.893959575	1.066876133	4.96196877	2.191695967	41	31.36327267	0			0		0.416117394		0		0	7.753142715	17.7117005	39.7316277	2.902242541	0	0.121895235
99		CB01_02	PM10	48.94428674	7.894162487	40.34278352	2.646182857	1900	49.06188846	3.402910382			2.694764547	35.71215272	0		0.743296789		0.239565084	2.429205738	2.512308769	0	0	1.342403144	1.861507818
104		CB01_02	PM2.5	0.670469681	0.923941834	4.065583912	1.961809578	30	53.47283483	0			0		0		0		8.646019548	0	0	0	1.996292919	35.8848542	0
105		CB01_02	PM2.5	1.564429257	1.411344463	5.147616152	1.347865374	40	79.30294275	0			0		2.469596267		8.824384958		0	0	0	3.446287289	3.434685245	2.522107214	0
106		CB01_02	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	20	86.969769	0			8.096240461		0.066275609		0.118736946		0.426199986	0.457657361	0.515130768	0.586070446	0.715674087	0.89849839	1.149746031
107		CB01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	13	80.0542891	0			16.00066125		0		0.096742174		0.346104731	0.371415657	0.417979667	0.475213723	0.579736289	0.72742491	0.930438004
110		CB01_02	PM10	17.43221172	4.711197439	15.30224668	1.068926987	513	47.97154963	10.5423905			9.342204034	16.20788276	0		0		0	4.185351729	11.3637343	0	0	0.386882247	0
111		CB01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	40	31.45537376	8.349900693			0.111077924		1.042755321		25.62952936		25.91993809	4.201446101	0	3.289983794	0	0	0
108		CB01_02	PM2.5	3.352348407	2.065996747	8.022418106	1.527747468	114	42.33118594	0			6.58775419	27.81043351	0.380449556		0		2.503875084	6.599063426	5.724408105	6.517735869	1.545103639	0	0
115		CB01_02	PM10	7.039931655	2.993913722	11.37726454	1.46317882	219	57.7393949	30.37417829			9.220617265		0		2.665805258		0	0	0	0	0	0	0
114		CB01_02	PM10	23.5781838	5.479112702	17.94635565	1.087006966	699	44.38674748	21.30440325			12.91958541	10.42759866	0		0.300384965		0	0	2.759211324	0	3.39958258	0	4.502487183
119		CB01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	39.09763694	4.713622481			0.095102983		0.009594221		0.015294168		0	0	0	0	43.41371059	12.34898046	0.306065613
120		CB01_02	PM2.5	4.469797876	2.385607556	13.47762491	3.233917842	176	55.77001572	13.28256577			1.406856161		6.250935793		0.56333621		0	0.385889364	0	0	13.32372874	9.016662091	0
123		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	33.06608498	0			0		0.011467766		4.067637026		21.74837291	0	0	41.10643566	0	0	0
121		CB01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	20	49.58470464	42.06246138			2.091949806		0		4.188083485		0.186736626	0.200295006	0.225423812	0.256120809	0.312163075	0.391489873	0.500572706
124		CB01_02	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	103	64.10042644	26.65184736			2.092777379		0		7.15495348		0	0	0	0	0	0	0
129		CB01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	100	0			0		0		0		0	0	0	0	0	0	0
127		CB01_02	PM2.5	3.128858513	1.995942481	6.754738484	1.160436259	103	69.72925663	1.669634692			11.21130586		0		2.080909908		3.499956429	2.440608293	0	0.369009771	0	8.999319375	0
128		CB01_02	PM2.5	0.670469681	0.923941834	3.585539429	1.525878653	38	52.35157609	15.10054171			0		0.004597591		8.87048617		0	0	6.88881427	8.481021225	5.027512088	2.447517961	0.827931799
