Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CB03_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	26	77.36771703	0	15.91240466	0	0	0.882427767	0	0	2.059953287	1.098496187	1.17512783	1.503877994
3		CB03_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	31	32.69485831	0	1.094006095	0	10.29243842	34.43567157	19.48020756	0	2.002828941	0	0	0
4		CB03_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	20	0	0	23.89039993	0	66.99690819	0	0	1.816563122	1.320633106	1.576483622	1.945333555	2.453675494
5		CB03_01	PM10	29.50066598	6.128736781	26.15442113	1.845221645	838	62.30127215	0	0	0	27.73802578	2.603105083	0.11006071	3.782435507	1.614699326	0	1.850410551	0
8		CB03_01	PM2.5	0.558724735	0.84343964	2.689154571	1.029968091	22	47.86196351	14.25592899	15.56422859	0.015097782	0.025398965	0	0.268373941	0	0	0	4.416231439	17.59277731
7		CB03_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	37	0	12.95615286	0.065711001	0	19.06244308	0	0	0	0	0	67.91569591	0
10		CB03_01	PM2.5	1.45268431	1.360005555	4.142481576	0.940026423	52	23.93023521	18.02433133	0	1.823453046	1.387823559	1.99861303	2.752163261	1.258907467	3.484857827	4.162446409	26.50349438	14.67366964
11		CB03_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	36	48.72359931	0	0.524660852	0.007548971	5.32974191	0	0	16.44773632	28.96670401	0	0	0
12		CB03_01	PM10	34.75267849	6.651953438	35.41266681	2.871568098	939	70.46773434	0	4.941572249	6.203950569	1.67266503	5.850454792	3.066325746	0	0	0	7.253135741	0.544167589
