Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	In Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
59		BU03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	43	16.39739424	42.9853946		0.593312783		28.69870961		0		0	0	0.507726846	0	1.315552928	6.087667868	3.414238244
62		BU03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	24.45296347	13.41516823		0.262263138		0		0.067468546		8.70218128	2.321061864	0	0	0	50.7788837	0
58		BU03_02	PM10	9.051340699	3.394779067	12.08800202	1.284654289	367	15.35063088	0		1.919833757		34.1271162	38.53870332	1.56495478		0	0	0	8.498755842	0	0	0
63		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	15.85436463	7.183076441		0		0.013364296		0.020488669		0	0	38.7855947	21.03953511	0	17.10357517	0
60		BU03_02	PM10	7.039931655	2.993913722	10.63467501	1.27840994	244	17.06987023	0		0.079256314		15.69838822		1.753335819	50.35364032	6.629000604	8.416519314	0	0	0	0	0
61		BU03_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	43	79.65995073	0		8.279509842		0		12.06055209		0	0	0	0	0	0	0
64		BU03_02	PM2.5	4.022818089	2.263186044	7.651123341	1.158004236	181	0	0		0		35.79566479	46.5549618	0.408520875		0	0	0	0	0	0	17.24085063
66		BU03_02	PM2.5	2.570133779	1.808976496	6.120898673	1.160018156	129	68.88798475	0		3.527481481		14.43532407		0.665649958		7.272957265	0	0	0	0	5.210598931	0
68		BU03_02	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	85	28.9992094	10.67701653		0.304407394		32.81843364		6.701450795		0	8.668231964	11.831256	0	0	0	0
70		BU03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	19	16.96346402	51.93677545		16.64390862		0.208590971		0.356113538		1.254359726	1.344670262	1.509646792	1.715875603	2.091755718	2.623006515	3.351825848
72		BU03_02	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	71	22.58609533	0		0		0		0		0	77.41390467	0	0	0	0	0
75		BU03_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	49	42.9703325	26.23369694		26.89141035		0.008311993		2.004582621		0.154119311	0	0	1.737540774	0	0	0
73		BU03_02	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	133	17.74507761	11.95657849		0.40998375		29.55489159	34.72403288	0		1.881739683	0.641726842	0	0	0	3.08597032	0
77		BU03_02	PM2.5	2.458388832	1.769213915	5.858353627	1.110940318	99	48.47911894	10.07430702		9.374117106		1.185375545		0		1.997886039	0	0	0	0	28.88918817	0
79		BU03_02	PM10	9.721810381	3.518265684	11.26851482	1.039384774	328	48.00114632	19.24341321		15.22846371		0		0		0	0	0	0	11.13930941	0	6.387666613
80		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	6.682220101	3.304847702		0.031288204		0.005899991		14.66146559		0	0	17.03895628	11.50243133	31.33806288	10.57097092	4.8638504
81		BU03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	44	20.92422694	36.42736077		0.125453295		2.153963409		18.10370386		8.129409701	8.941817284	0	0	0	5.19407317	0
83		BU03_02	PM2.5	1.78791915	1.508790696	4.590674005	0.937983431	96	10.77138707	10.234835		0		28.84218693		1.3395424		8.147673309	4.681317508	0	1.008769963	20.0616613	10.85264459	4.059982672
82		BU03_02	PM2.5	1.78791915	1.508790696	5.038866433	1.130076784	76	17.08042473	1.046346873		14.2336458		11.42755598		1.82344541		0	0	19.17918175	0	3.198857233	32.01054633	0
84		BU03_02	PM2.5	2.681878726	1.847883667	6.120898673	1.111684066	91	34.07012224	0		7.498474419		19.63653713		6.203082576		12.50877529	20.08300722	0	0	0	0	0
85		BU03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	58	24.88945723	0		0.985815376		26.29815042		3.734467924		0.405734032	0	0	0.891146716	30.23118079	12.56404072	0
87		BU03_02	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	98	6.102319434	0		0		48.10289145		0		4.027421772	14.83917087	0	18.34994704	0	8.578259498	0
86		BU03_02	PM2.5	2.681878726	1.847883667	6.569091101	1.280446892	118	41.40693545	19.05954182		9.492342919		3.780232742		0		6.587735564	0	0	0.077650452	0	19.5955649	0
89		BU03_02	PM2.5	3.687583248	2.166835669	7.388578295	1.178067194	129	78.22868824	0		4.446423054		1.550788432		3.724264354		0	0	0	3.238906339	0	8.810922503	0
88		BU03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	49.79743958	0		0		0		0.045684868		0	0	0	25.88168681	13.31814826	8.230659366	2.726378664
91		BU03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	56	55.50503135	8.075235784		1.288175583		29.07477319		0		6.056788191	0	0	0	0	0	0
90		BU03_02	PM2.5	4.469797876	2.385607556	7.574225677	1.021359736	165	48.63058627	18.35890263		0.062319078		0		0		7.121027261	25.82716942	0	0	0	0	0
