Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
57		AG01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	97.61639237	0	0		0.031138401	0.056863442		0.205584266	0.220879656	0.248861546	0.283193728	0.345996488	0.434623053	0.556464307
58		AG01_02	PM10	35.53489312	6.72639808	52.39893348	6.148653472	1194	52.68414617	0	3.153698891	32.07763433	0.990923773	1.453196071		0.888164621	0	0	0	0	5.911742523	2.840484679
64		AG01_02	PM2.5	3.799328195	2.199421492	7.75987306	1.261224967	109	23.73338938	21.22532874	0		0.105670036	1.528397854		18.35740209	17.36479849	0	0	0	17.68501997	0
63		AG01_02	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	68	46.02094889	0	0		0	0		7.933194935	11.49099618	20.09957582	0	10.20175442	0	4.253527522
60		AG01_02	PM10	12.40368911	3.97402409	16.01298416	1.645067837	395	25.9521693	6.320759654	5.091798306		0	3.961350396	53.27151418	0	0	0	0	3.426294029	0	1.976111718
65		AG01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	24	85.98018885	0	5.082441866		5.404473841	0		0.31779476	0.341018545	0.38379347	0.43630274	0.532195857	0.66773314	0.854054559
66		AG01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	82.52015114	0	10.63282862		0.074537128	0		0	0	2.717562579	0.657788664	1.024148334	1.096857525	1.276121754
67		AG01_02	PM10	18.54966119	4.859852072	16.30738126	1.14083439	331	24.22539145	0	0		0	2.687070146	60.1172328	0	0	0	0	0	0	12.97030896
70		AG01_02	PM10	15.64429257	4.463063068	22.42827993	2.558739908	429	58.9543879	8.067021519	3.927062452		0.877245516	0		2.870434709	11.49741858	1.356661879	0	0	0	12.44976819
71		AG01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	7	0	13.32469434	0		1.616789214	0		7.845778018	8.351409435	9.277650714	10.48870161	12.71381527	15.98604321	20.39512247
69		AG01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	38.80971968	2.033918351	0		0.010105684	0.015920574		1.346898638	3.051928245	0	0	0	22.89749235	31.83401525
72		AG01_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	22	67.77487397	0	0		0.015645135	0.026663247		14.91427571	11.06476858	0	0	0	5.063557625	1.140215341
74		AG01_02	PM2.5	1.340939363	1.306651072	6.569091101	2.560893784	79	66.6616261	5.807513744	3.023666143		3.281341493	10.6107749		0.178122439	0.333518372	0.267014722	0.090927078	0	0	9.745494276
