Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
52		PD03_01	PM2.5	0.782214628	0.997971241	4.296276903	1.877797393	37	59.9588573	0		30.55322468			0.020529167	0		0	0	0.437845988	0	1.09716896	5.211665109	2.720707469
54		PD03_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	68	28.83125544	12.07047701		2.521367371			0	0		0	0	0.12139579	20.08587569	0	4.155870527	32.21375942
56		PD03_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	33	6.250972301	25.30452907		1.177617908			2.278481424	0.158837321		1.87698137	22.38110602	4.699296877	0	31.7288816	4.143290222	0
57		PD03_01	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	59	41.55859053	36.39707267		13.73805255			0.83782021	7.468467206		0	0	0	0	0	0	0
58		PD03_01	PM2.5	2.234898938	1.68687928	6.569091101	1.53653627	44	25.29932261	32.79739618		0			30.3288281	3.186994791		1.816625334	4.080699757	0.488956878	0.419968367	0	1.581212878	0
59		PD03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	35	37.27301359	7.213365287		23.48203361			0.811947044	6.623959541		0	4.548943788	1.392372139	0	13.37611526	4.290189967	0.988059584
60		PD03_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	53	29.17508185	8.933934569		0.771155348			0	12.85453737		2.193165384	0.026623165	0	0	8.761366457	6.122148037	31.1619848
61		PD03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	28	49.73466396	0		0			19.37105507	0.091059098		5.847308785	10.05037799	0	0	0	14.90553468	0
62		PD03_01	PM2.5	3.575838301	2.133752265	6.940385866	1.071962265	139	40.36130607	10.71411073		7.401946187			0	0		0	0	0	0	0	18.83098483	22.69165665
63		PD03_01	PM10	23.5781838	5.479112702	23.77285722	1.907403394	645	46.43221796	10.25174335	27.44457722	0			15.3630361	0		0	0.44748201	0.060938695	0	0	0	0
64		PD03_01	PM2.5	3.799328195	2.199421492	11.08286744	2.572690857	154	63.69166374	0.808209646		3.0175969			0.489145098	2.238605917		0.304168812	0	0	1.41753573	9.320603311	0	18.71246397
65		PD03_01	PM2.5	4.022818089	2.263186044	7.202930912	1.026309243	191	41.2997663	11.50788441		2.794520557	24.76556003		0	0		0	0	0	0.106384512	0.396580016	9.315449744	9.813851863
66		PD03_01	PM2.5	4.69328777	2.444520318	10.63467501	1.917614909	177	17.52220988	24.95508492		13.9655754			0	5.277383327		15.46660066	0	0	3.050355054	0	13.69946003	6.063332036
68		PD03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	33	0	0		6.295932829			0	0.011903037		2.977297269	15.06393701	22.08607048	32.77451694	8.110067248	0	12.68027276
70		PD03_01	PM10	13.07415879	4.080016665	30.34194832	5.603550746	521	49.82076585	9.913366288		5.395313725			0	0		8.750139177	0	4.136411846	3.436334804	11.04533225	7.50233233	0
71		PD03_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	34	41.56490564	0		6.405343115			0	3.624578193		0.799189694	0	2.473401465	0.507669896	14.83051181	29.79440391	0
72		PD03_01	PM2.5	0.893959575	1.066876133	3.322994383	0.982950097	78	51.41983628	0.016086246		9.412747622			3.245139495	0		9.553232789	6.837019324	17.69424379	0	0	0.251171202	1.570530422
74		PD03_01	PM2.5	3.017113566	1.959976608	6.306546055	1.049014815	127	58.38238001	6.938870251		14.59150016			0.025305396	1.370739471		0	0	11.39886677	3.739387915	0	3.552956879	0
75		PD03_01	PM2.5	2.90536862	1.923338301	6.044001009	1.000548052	98	49.24365878	0		13.3795768			1.720961928	3.302884102		0	0	0	4.070045054	2.042765915	26.24010146	0
76		PD03_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	35.84071398	0.757046277		5.881305039			0.215839804	0.032999692		0	0	0	0	0	37.46713996	19.80495006
77		PD03_01	PM10	60.67750617	8.789596141	30.26505065	1.201282701	2436	47.07426429	0	6.207460165	5.759237334	37.01908886		0.182174682	0		0	0	0	0	1.356225181	2.401555702	0
78		PD03_01	PM2.5	2.793623673	1.88598837	5.858353627	0.97762748	118	30.88726699	8.009173721		11.10327318			1.226992067	3.923300654		0	0	6.356155872	15.98116308	1.576915011	17.73775667	3.198008612
