Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
94		BU02_03	PM2.5	2.346643885	1.728536893	5.858353627	1.163842238	110	84.98626351	0	0			6.471832842	0.012841298			4.564885423	0	0	0	0	3.964178637	0
96		BU02_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	79	36.93037927	34.45232213	0.15227414			0.253940327	13.52574974			0	0	0	5.656135082	9.029195458	0	0
95		BU02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	31	68.56036782	0	1.742415689			0.0084229	21.41979188			1.555811428	3.471757099	1.257262845	0.458600838	0	1.52556831	0
104		BU02_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	83	20.40788084	14.62366134	29.84040082			2.906398289	0			0	0	17.20739156	0	0	15.01426101	0
106		BU02_03	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	102	69.92001534	6.88662678	0			0.012925755	15.58795869			0	4.748573899	0	0.199041329	0	2.644865029	0
108		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	71.76373005	0	0			8.178117871	0.044081916			0	4.234810919	10.51364243	0.562919443	0	4.702693224	0
109		BU02_03	PM2.5	1.45268431	1.360005555	4.96196877	1.34873598	51	37.46755719	0	0			12.08205521	0.027526071			16.49607718	28.32617462	0	0	4.562900215	1.03771314	0
111		BU02_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	49	85.7871592	0	0			0	11.09746024			0	0	1.119395252	0	0.473429495	0.901777018	0.620773295
110		BU02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	21	11.29543036	4.395007715	21.39550447			0.220240746	5.383244529			40.5621171	16.74845219	0	0	0	0	0
112		BU02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	34	0	0	2.973349392			0	12.83425242			5.33310473	0	0	35.4513377	25.96285045	9.612635523	7.832472771
