Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
56		WN03_03	PM10	11.06274974	3.75306947	11.90235464	1.019043727	271	5.802140385	0	32.36931562	0		36.48773134		0.893930253	2.665771917	6.693211198	6.81900233	1.10652009	2.861981094	1.506962162	2.793434449
58		WN03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	28	88.51667047	0		0		0		0.280269608	1.003586501	1.078385767	1.212679502	1.381301228	1.689089276	2.121955343	2.716065571
59		WN03_03	PM10	10.16879017	3.59823648	13.24693192	1.373255854	260	10.23643315	22.25456834		1.399862394		27.6578486		0.202024798	6.343268603	0	0	0	5.672117323	8.977759629	17.25610793
62		WN03_03	PM2.5	2.90536862	1.923338301	6.940385866	1.319338172	87	25.14074445	16.35413319		0		14.66246992		0	3.137045726	0	0	0	0.510156155	4.758663476	35.43678224
64		WN03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	24	1.696956716	0		0.211312831		0		2.924964204	2.682533115	23.0593279	21.36014998	39.94683623	0	8.117916435	0
60		WN03_03	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	47	7.029390335	85.62962413		2.223138511		0		0.125603878	0.448866375	0.48173801	0.54199812	0.616362691	0.752147101	0.943848584	1.207284443
63		WN03_03	PM10	13.29764868	4.114740837	13.50947697	1.092175302	532	28.7813127	9.835635871		9.96055454	22.12945819	0.17427596		1.153481565	3.17729786	4.500310868	8.361174166	7.115405798	0	0.795633532	4.015453905
65		WN03_03	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	42	54.23299074	0		27.25657523		12.50225902		0	0	0	0	0	6.00817129	0	0
67		WN03_03	PM2.5	3.128858513	1.995942481	8.918802963	2.0231	123	59.43285823	4.381976649		3.740416467		0		7.369288802	25.07546544	0	0	0	0	0	0
69		WN03_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	21	44.88407075	0		39.00227845		8.129870147		0.162049825	0.565032428	0.606111949	0.680502225	0.770844659	5.199240148	0	0
71		WN03_03	PM2.5	2.234898938	1.68687928	6.197796336	1.367750394	91	18.62341762	30.07139862		7.785755396		0		0	25.43213069	4.846528172	0	0	0	13.24076504	0
