Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
36		CA01_01	PM2.5	1.899664097	1.555225852	5.147616152	1.110006779	82	42.73527563	9.333577007		0		1.958532073	7.168446481			16.429618	10.14409214	7.626417279	4.604052752	0	0	0
37		CA01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	14	16.61431491	0		26.21085048		0.093571324	26.92875862			0	0	0	0	30.1525116	0	0
38		CA01_01	PM2.5	2.458388832	1.769213915	5.858353627	1.110940318	115	47.76513875	14.13169503		0		0.16664397	30.14430702			0.227054115	0.465031341	3.581970185	3.518170863	0	0	0
39		CA01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	46.40016556	4.364681989		0		3.189300001	0			0	0	0	46.04585171	0	0	0
40		CA01_01	PM2.5	3.128858513	1.995942481	7.836770723	1.561990878	122	48.21754992	0		15.30188173		0	10.61192825			0	0	0	12.1685639	0	0	13.70008439
41		CA01_01	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	67	49.51384366	4.998301715		0		2.674380504	18.58874857			0	0	2.206643298	0.867784396	3.127622232	0	18.02268177
42		CA01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	73.28822017	4.066284746		0.256739976		0.054786791	0.094346778			0	0	0	0	0	0	22.23961651
43		CA01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	72.55517244	0		25.49912632		0	0.047969905			0.171097135	0.183477614	0.206468743	0.234536012	0.28576632	0.358310342	0.458076037
44		CA01_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	20	78.58053446	0		0		0.016618335	20.12008876			0.270203664	0.124111027	0	0	0	0.888444949	0
45		CA01_01	PM2.5	3.017113566	1.959976608	7.728021005	1.575197689	151	47.91985154	0.881994329		0.684918743	36.04414165	0.808965042	0.759312278			0.691403402	1.003681682	0	0	0	9.582635015	1.62308272
46		CA01_01	PM2.5	0.335234841	0.653325536	2.317859807	1.275308684	43	16.97011292	11.43837124		14.28213567		0.824226905	0			7.376242429	12.82834411	27.41306722	3.947632387	0	4.91986163	0
47		CA01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	46.90032303	0		21.31686807		6.999157369	0.800489727			1.510480046	0	0	20.1078549	0	1.26091931	1.103909314
48		CA01_01	PM2.5	2.793623673	1.88598837	8.733155581	2.172524227	146	74.73490834	0		8.400462568		3.059941344	0.772939064			0	0	0	0	5.60740754	0	7.424336672
