Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
85		OC01_01	PM2.5	3.017113566	1.959976608	9.104450346	2.186280804	94	51.17694139	2.001645975	0		0.006211198		0.90751471	0	0	1.503915619	0	0	31.08612001	13.31764609
87		OC01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	43	29.98791635	8.85687694	0		0.008393142		0.698643737	7.477303594	6.801987439	0	0	6.191603839	0	39.97727036
88		OC01_01	PM2.5	2.793623673	1.88598837	8.733155581	2.172524227	82	57.66236186	36.11268997	0		1.224253327		0	0	0	0.241381675	0.088873436	2.335145138	2.335307188	0
90		OC01_01	PM10	6.592951867	2.89731031	9.738290157	1.144657746	285	45.86769938	8.447233588	9.012056142	20.82977593	0		2.192565426	1.730952971	0	0	0	5.116027221	0.605754368	6.197943166
91		OC01_01	PM10	6.48120692	2.872651902	12.42744473	1.896260198	148	45.97337544	3.732056543	15.51017463		0		2.889315225	0	6.874993443	6.839773804	0	10.08726284	0	8.093050122
92		OC01_01	PM2.5	4.134563035	2.294403878	9.629540438	1.784726372	95	55.52766323	0	12.85603642		1.062648464		2.083013207	0	20.94935328	7.521293312	0	0	0	0
94		OC01_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	10	1.710931398	5.940905586	0.176995073		0.0166472		0.025018648	24.323304	67.80620217	0	0	0	0	0
95		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	60.13925076	0	0		29.09113467		0.275750365	0.956476945	1.022641547	1.146635413	1.29984105	1.578223892	1.973556913	2.516495436
96		OC01_01	PM2.5	1.229194416	1.251023157	4.667571668	1.410430034	48	38.84638846	1.187523175	3.28880623		0		0.67025139	5.873728916	10.22484452	24.37367588	3.656243533	5.719739199	2.944954671	3.213848919
97		OC01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	29	77.0278275	0	2.235724218		0.021300133		0	0	0	1.276907139	0.310515356	0	0	19.12772357
98		OC01_01	PM2.5	2.123153991	1.644166543	5.672706244	1.206116422	71	33.95074308	0	17.98808426		0.497661624		2.325868793	0	0	0	11.23919189	0	33.99844766	0
100		OC01_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	94.05136704	0	0		0.078741886		0.142400735	0.512807444	0.551054534	0.620341813	0.706347264	0.863505341	1.084739156	1.388693694
