Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
64		CM01_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	39	75.66962838	0	0			0.585581828	0.03812802		2.73229517	7.3571302	0.580499088	0	0	13.03674281	0
65		CM01_02	PM2.5	2.458388832	1.769213915	5.672706244	1.041646001	92	37.71829009	36.56002581	13.52600455			2.049078979	5.264726654		0	0	0	0	0	1.381395385	3.500480205
66		CM01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	13.31635714	0	0.010059096			0.012228302	0.333915395		56.61712885	24.76300746	0	4.94729951	0	0	0
67		CM01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	42	35.07812619	16.50644392	1.539899595			0	19.3650052		1.429316681	12.66787499	5.054116249	0	0.580265699	7.778950036	0
68		CM01_02	PM2.5	1.229194416	1.251023157	4.590674005	1.364339536	44	0	30.06769717	2.315917239			0	37.23802567		0	0	0	15.0832206	15.29514045	0	0
69		CM01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	50	61.51095033	0	2.03101933			0.611784868	1.189409383		0	0	0	0	0	12.92148381	21.73535228
70		CM01_02	PM2.5	2.123153991	1.644166543	5.672706244	1.206116422	70	43.24523509	19.0599978	4.619762301			0.822167192	14.59366232		4.227376729	4.459811375	7.367001474	0	1.604991406	0	0
71		CM01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	62.53218651	5.888929218	29.04469073			0.039943238	0		0	0.265312684	0.298436754	0.33896286	0.412794482	0.517416419	0.661320705
72		CM01_02	PM2.5	1.78791915	1.508790696	6.863488203	2.096679471	102	47.8263706	5.502042174	5.095266923			0	0		0.855084136	20.01143843	0	0	0	3.204387799	17.50541031
73		CM01_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	66	50.96546412	4.931312799	0			0.02227541	10.69754958		0	0	9.781001508	2.609151229	0	2.818182856	18.17505658
74		CM01_02	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	71	61.23876572	15.16996026	3.496106714			0.661174813	7.165577263		0	6.706129014	4.596437514	0	0.402023224	0.315361912	0.248471182
75		CM01_02	PM10	9.38657554	3.457073787	11.08286744	1.041327252	336	45.1430589	14.49597478	0.234905002		11.50484607	0	13.41799796		4.896773025	5.146048591	0	0	4.688155651	0.472238427	0
76		CM01_02	PM10	7.263421549	3.04106487	10.89722006	1.301009082	209	71.92468047	10.68685129	0			3.230952471	13.24504763		0.054220716	0.470359996	0.387890008	0	0	0	0
77		CM01_02	PM2.5	0.893959575	1.066876133	3.87993653	1.340051527	42	79.97053862	0	0			0	1.459901407		0	0	0	14.72115666	3.639614582	0.208785292	0
