Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
57		CM03_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	19	63.61904144	33.31862986	0.322956359		0.037200193		0		0.2423089	0.260242866	0.293106656	0.333452527	0.407218095	0.511350064	0.654501468
58		CM03_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	16	36.97295785	36.79492772	12.17397451		0.022862246		0.534085976		1.507614926	1.782120019	0	0	0	10.21144465	0
59		CM03_01	PM2.5	3.464093354	2.100147767	7.913668387	1.438653624	98	39.88396227	2.695993707	1.385779306		0		15.91025591		7.810172439	5.006827042	4.874044657	0	7.741633803	7.546145469	7.145185024
60		CM03_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	25	60.31451225	0	32.55513012		0		5.85757941		0	0	0.171105948	0.194070558	0.235838466	0.295100827	0.376670016
61		CM03_01	PM10	7.822146283	3.15586216	13.50947697	1.856698014	329	58.79145861	0	5.278521404	22.07738608	4.356659576		1.331487019		0	0	2.485068142	5.059681088	0	0	0.619746372
62		CM03_01	PM10	40.33992583	7.166755807	35.15012176	2.437298426	1096	70.44243813	0.769854011	5.343727395	12.6552403	0		4.307898879		1.807707734	3.461309522	1.211822405	0	0	0	0
63		CM03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	0	3.948609903	0.097840501		0.024842008		0.036280035		0	0	27.91089118	34.80574191	20.14568299	9.700316936	3.329799697
65		CM03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	48.56012464	0	16.20742083		0.017793635		1.29556125		2.817494795	0	5.848164484	11.68535501	13.56808692	0	0
67		CM03_01	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	64	61.95837855	0	25.15529692		0		0		7.046759874	0	0	4.063235223	1.681185141	0.095148262	0
64		CM03_01	PM10	22.12549949	5.307641745	18.20890069	1.192516802	664	58.16982985	9.116703272	4.103225097	12.98861057	0		0	14.62643147	0	0	0	0	0.960135646	0	0.035063192
66		CM03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	29	32.94174373	19.26068515	11.1927256		0		4.564307258		0	0	6.823991984	9.706091881	0.065677584	7.531897724	7.912883162
69		CM03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	40	10.07398069	19.19501275	9.406510741		0.008938514		15.69715291		0	0	0	0	0	45.61840594	0
68		CM03_01	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	32	35.4039371	26.46917999	0		14.10623342		0		0	0	9.370497614	0	4.439384863	7.922953367	2.28782054
