Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
46		CM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	4.088803381	0	8.328612894			0.070733484	81.52213693	0.863086618	0.571571523	0.634439383	0.711493753	0.848322082	1.04501443	1.315778308
45		CM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	91.49916768	0	0.481424807			0.021114158	5.544134602	0	0.577736879	0.769425929	0.194029952	0.236463244	0.296832342	0.379667222
48		CM02_03	PM2.5	2.234898938	1.68687928	5.410161198	1.042203812	109	30.17923832	33.52297843	19.09897178			1.673958264	0	0	0	0	0	3.846633434	11.67821884	0
49		CM02_03	PM2.5	1.676174204	1.46088031	5.224513816	1.295873913	78	35.53916514	23.60985279	18.34017485			0	2.361153811	1.666938886	2.259000391	0	0	0	0	16.22371078
52		CM02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	16	26.73602402	8.779613674	22.28916436			0.025307297	25.01164079	10.27938277	3.710883111	0.606559869	1.873472519	0.265502604	0	0.422459422
51		CM02_03	PM2.5	0.782214628	0.997971241	3.322994383	1.123371539	36	64.07146454	0	14.56830502			0	2.999795601	4.377531633	0	0	13.98289651	0	0	0
50		CM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	0	17.31053591	0.239541894			18.86985302	0.032402651	0	0	35.59504747	27.95262337	0	0	0
54		CM02_03	PM2.5	1.676174204	1.46088031	6.274694	1.86920135	67	42.02945232	0	1.219026465			0	16.24867618	0	0	6.079437211	3.966819122	5.708559975	0	24.7480303
55		CM02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	40	72.0664978	0	0			1.666015759	1.774273813	7.592713833	0	0	0	0	16.90049469	0
56		CM02_03	PM10	5.587247345	2.667190332	8.918802963	1.132936	209	46.14102244	0	1.366168261			0	37.85510063	0	0	0.217713928	11.98030934	0	2.439684235	0
53		CM02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	44	62.93169856	22.90170193	3.497735038			0	10.26022956	0.108980725	0.033434996	0.035728075	0.040540591	0.049314002	0.061758724	0.078879006
57		CM02_03	PM2.5	2.793623673	1.88598837	5.858353627	0.97762748	84	54.63631153	1.64275188	9.187375009			0	0	0	0	0.719137117	8.082161099	2.313371375	3.548993915	19.86989975
58		CM02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	50	66.39292836	17.13648289	0			0.986930728	13.75647634	0	0	0	0	0	1.727178693	0
61		CM02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	23	43.68366897	24.0750894	4.259259999			0.009460969	0.015899542	0	0.426408695	1.444019563	0.453762384	3.069141321	0	22.56329358
63		CM02_03	PM2.5	2.011409044	1.600314199	6.120898673	1.482245422	102	44.56399083	0	0			0	0.446627894	0	0	0	0	0.502124615	35.51619053	18.97106469
62		CM02_03	PM2.5	3.128858513	1.995942481	6.754738484	1.160436259	139	52.88926959	3.44250612	10.68275422			0	0	5.879830196	0.999735855	5.066459626	8.900497854	0	0	12.13894263
65		CM02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	59.93067026	26.33509338	5.596786365			0.010368996	7.365455478	0.069295726	0.073703384	0.082921202	0.094131532	0.114575471	0.143563387	0.183439942
66		CM02_03	PM2.5	3.017113566	1.959976608	7.202930912	1.368412324	138	65.69176912	4.996217787	0.801832415			0	28.51018906	0	0	0	0	0	0	0
67		CM02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	38	52.62730122	4.494878277	2.76860781			0.038780874	20.0524196	0	0	9.093691409	3.073998541	2.595975623	0	5.254350603
68		CM02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	44.16553378	0	3.294761479			0.010068231	0	0	0	6.740780175	45.7888484	0	0	0
