Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		MG03_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	46	0	32.63577521	44.67404783		0.049067807	0.078762678	0	0	0	0	0	0	22.56234884
5		MG03_01	PM2.5	4.69328777	2.444520318	9.104450346	1.405466231	161	47.35562503	8.963089436	14.81487006		0	1.809636876	10.06802544	0	0	0	8.120247722	8.868511021	0
4		MG03_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	26	60.13134718	3.02081164	34.15453136		0.18944866	0	0	0.2666143	0.29981907	0.340428716	0.41437489	0.519209867	0.663414598
8		MG03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	11.37861088	16.25527143	29.87971306		0.419611018	6.935252249	0	0	0	12.81149983	12.84481883	9.475214779	0
6		MG03_01	PM2.5	4.469797876	2.385607556	8.470610535	1.277414022	179	42.33267903	0	0.929153152	32.08624125	0	0	3.866983205	0	1.78905949	10.2556847	0	0	8.740200847
7		MG03_01	PM2.5	4.022818089	2.263186044	7.202930912	1.026309243	168	53.10354829	9.771246463	2.838984504	33.40781331	0.034090379	0	0	0	0.844323821	0	0	0	0
9		MG03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	36	21.07234746	0	8.231121302		0.009746029	0.179377594	2.133489028	0	0	40.35198689	0	0.439754315	27.58217156
10		MG03_01	PM2.5	2.570133779	1.808976496	6.229648392	1.201604309	104	7.603349537	9.529817104	1.349817775		35.0071162	0.710368203	20.57259381	0	0	0	20.43326795	4.793678597	0
11		MG03_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	45	69.55621839	0	6.02690503		0.009051156	5.44106029	0	0	1.402099524	0.519362884	4.927605018	3.861227259	8.256466687
13		MG03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	22	74.18575287	0	0		18.62137616	0	0	0	0	0	7.192866504	0	0
14		MG03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	36	58.6433053	0	1.683411375		0	21.64986581	1.324617397	0	0	14.91886824	0	0.914175622	0.865762029
15		MG03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	41	68.62188578	0	15.35314471		4.729996994	0.190522906	6.09036237	5.014082417	0	0	0	0	0
12		MG03_01	PM2.5	2.346643885	1.728536893	5.410161198	0.992575059	141	22.1570909	12.63639182	0.343279191	19.17645931	0.743241236	0.189561513	0	0	0	0	2.353767678	4.934339225	37.46586442
16		MG03_01	PM2.5	4.022818089	2.263186044	8.284963152	1.357815944	163	49.91848171	0	1.167265046	34.28194821	3.068779223	0.708195055	0.047126118	0	0	0	1.351542026	0	9.456666559
18		MG03_01	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	59	48.19662571	2.666107193	2.297525294		3.011049703	4.225938022	0	3.958491236	1.595984586	0	24.8419106	7.148354501	2.058011852
19		MG03_01	PM2.5	1.676174204	1.46088031	4.590674005	1.00051566	63	20.28963715	47.91803956	0		1.114422735	17.14111418	0	0	7.603543252	0	0	5.933248624	0
20		MG03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	48.96141589	39.88746405	9.270618111		0.025426142	0.045371021	0.16273713	0.174638641	0.196632906	0.223502959	0.272597675	0.342049147	0.437551411
23		MG03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	73.63652587	0	12.17832491		0	0	10.39762497	1.111306809	0	1.082531549	0.611429289	0	0.982252881
21		MG03_01	PM2.5	4.022818089	2.263186044	7.202930912	1.026309243	154	38.78442645	7.997572422	12.68845201	33.28605294	0	0	7.243496925	0	0	0	0	0	0
25		MG03_01	PM10	7.93389123	3.178324096	11.08286744	1.231992805	258	50.69901943	7.134243101	7.914192975	29.00363207	1.610676572	0	0.425072666	0	0	0	0	0	3.213169798
26		MG03_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	21	0	0	12.66319603		0.014764906	0.022927482	53.26769352	29.65886593	0	4.37255688	0	0	0
27		MG03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	44.16259229	17.61331558	10.46915054		0.074298203	0.124678598	0	0	0	0	27.55596042	0	0
29		MG03_01	PM2.5	1.340939363	1.306651072	3.956834194	0.929130466	76	84.98244882	0	3.740982711		0.027006233	11.2495698	0	0	0	0	0	0	0
30		MG03_01	PM2.5	3.017113566	1.959976608	6.229648392	1.023588856	96	40.80021083	5.107685924	2.023261413		0	0.409764936	0	0	22.73089141	16.02107733	0	3.454045951	9.453056008
32		MG03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	10	56.13626838	0	0.220485241		33.82811546	6.01407364	0.386087038	0.412085652	0	0	0	3.00288368	0
31		MG03_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	24	5.32483235	0	3.656560183		0.160714565	0	1.799311861	0	8.813612163	13.93758953	20.75617462	0	45.5512166
33		MG03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	49.87976849	0	35.78511178		0.211333716	0.355968415	1.247057691	1.335666236	1.498821471	1.70210842	2.072312124	2.596390806	3.315464035
34		MG03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	8	57.03152418	39.96010423	0.116148801		0.038417804	0.069354207	0.249752239	0.268217432	0.302066281	0.343626458	0.419603987	0.526866503	0.674320105
