Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
54		MG02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	31	88.39745522	0	1.967613585			1.092447247		0.213727122		0.148975302	0	0	0	0.935845822	7.243929058	0
53		MG02_03	PM2.5	2.458388832	1.769213915	6.492193438	1.364339536	93	31.51916862	0	3.836116567			0		9.029649198		12.23563403	34.70037282	8.679066598	0	0	0	0
52		MG02_03	PM10	7.59865639	3.110451704	17.80575387	3.320275046	279	41.30088687	29.18268442	1.885076053			1.016977429		17.84130782		0	0	0	1.437551342	4.085946828	2.473570779	0.775991566
55		MG02_03	PM2.5	1.45268431	1.360005555	5.672706244	1.76278554	39	35.93277037	30.16493917	1.551716868			3.974011168		11.17624938		3.651821986	10.24800614	1.611191407	1.689294539	0	0	0
57		MG02_03	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	32	0	0	32.56449997			0		0.037720785		12.9556641	8.350852132	0	0	0	13.04188818	33.04937482
58		MG02_03	PM2.5	0.782214628	0.997971241	4.142481576	1.745763357	22	58.98003578	0	5.286604166			6.027573347		0.04695649		0	0	0.324333855	0	29.33449149	0	0
59		MG02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	33.1630379	10.20473465	2.061405964			0.027812331		0.044527822		0	0	20.40878236	3.754495084	12.34736964	13.98021877	4.007619619
60		MG02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	59	36.86904311	3.765390068	0			3.409074992		12.3211652		0	0	0	7.515242696	0	36.12008393	0
64		MG02_03	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	40	77.28431821	0	4.340590537			0.007793662		7.979249954		1.301370468	4.580358416	4.506327584	0	0	0	0
66		MG02_03	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	37	41.89302623	19.50343102	3.593090177			0		1.72566101		4.494562745	3.742815554	0	0	15.9786731	8.356010169	0.712718535
65		MG02_03	PM2.5	3.128858513	1.995942481	8.09931577	1.66840266	105	45.62596381	13.33337128	8.289373666			0		4.374410957		0	0.058668532	0.784628093	0.137873332	2.425460145	0.309201609	24.6610567
62		MG02_03	PM10	5.475502398	2.640383718	10.71157268	1.6675261	200	29.05746996	0	0.966795534	32.02885389		4.839396477		7.897141576		0	0	0.012644117	0	0.316173676	0	24.88153428
67		MG02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	27	45.77156007	4.446404055	10.49225777			25.39988756		0.051837799		13.83805424	0	0	0	0	0	0
69		MG02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	10.63084677	0	3.412440047			0.492898421		0.013360614		5.954850465	4.844748229	0	0	5.687785521	10.92492789	58.03813338
70		MG02_03	PM2.5	2.570133779	1.808976496	5.858353627	1.062638565	128	37.00522184	6.22683391	0			0		26.91690624		2.980178036	5.370098725	10.25308222	0	11.15438789	0.093295617	0
71		MG02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	6	0	37.7977252	48.17342758			0.215610862		0.353377382		1.225275919	1.310444996	1.469041314	1.666141301	2.024539933	2.53319703	3.231229261
