Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
43		BU02_01	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	20	0	92.6884234		0			0	0.179724291		0.641136291	0.688144797	0.773909641	0.880336761	1.074605715	1.348651852	1.725079119
42		BU02_01	PM10	6.816441761	2.946008012	11.34541249	1.502702428	278	45.04726529	5.431815609		0	31.90719485		0	0		0	1.146714203	0	0	0	3.159007058	13.30800354
47		BU02_01	PM2.5	3.017113566	1.959976608	6.120898673	0.988163615	99	28.14975679	19.04908717		14.98712152			0	0.290241721		0.012664903	8.66445452	1.770248264	0	0	0	27.07641721
50		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	23	0	60.79615951		16.85709059			0.022312283	20.67505568		0.197316241	0.156519969	0.175451185	0.198517134	0.240295683	0.299737556	0.381538668
46		BU02_01	PM2.5	1.340939363	1.306651072	5.487058862	1.786735369	62	44.88091767	9.318141639		0			0	10.86336151		19.98170167	12.23893464	0	0	0	2.309438214	0.40750131
49		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	74.19276834	0		0			0.020815102	24.09469485		0.233746786	0.156619353	0.175736519	0.199020724	0.24128207	0.301339873	0.383971236
48		BU02_01	PM10	6.034227133	2.771825501	9.104450346	1.093140402	180	29.29660678	13.81525397		15.31298906			0	11.04452759		0	0	0	0.718748197	0	19.42048073	10.39139107
52		BU02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	28	14.92902935	17.13618189		10.56109741			0.015099881	0		18.05796921	39.30062056	0	0	0	0	0
51		BU02_01	PM2.5	0.782214628	0.997971241	4.328128958	1.905744114	39	67.63905883	9.979812801		12.40072921			1.769550517	0.022072371		1.102565695	0.876411609	0.094716088	2.561287396	0	0	3.55379656
53		BU02_01	PM10	16.09127235	4.526372089	17.01811873	1.432263251	463	39.04119134	17.05296785		5.41998148	14.96066153		0.963062327	6.415835768		3.465875238	6.362938136	2.564790286	0	0	0	3.752698377
54		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	11	0	10.26751623		0.12031009			0	26.69720352		24.16159511	20.00988424	0	0	7.099677622	11.12642586	0.517387129
56		BU02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	43	69.6651876	0		13.66363019			1.573277637	14.02238756		0.13358366	0.100863446	0.113285135	0.128400407	0.15588	0.194904697	0.248598959
58		BU02_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	75	39.69559371	53.62046361		5.726764724			0.008937898	0		0.26057791	0.166346261	0.06962202	0.07912197	0.096505723	0.121117209	0.154950516
59		BU02_01	PM2.5	3.352348407	2.065996747	11.08286744	2.915716305	146	46.0421294	1.832532883		7.342100888			0	6.023898721		0	0	18.20968688	4.276400432	8.453432471	4.774063826	3.045745753
55		BU02_01	PM2.5	1.340939363	1.306651072	4.776321387	1.353842302	50	83.11893344	0		0			0.232314528	0.408972846		1.456643175	1.564705372	1.758012921	2.002296038	2.447928116	3.075111844	3.935086355
62		BU02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	37	40.36931396	28.00889015		14.40244317			0	0		0	0	7.420562208	0	2.574131265	5.466722324	1.757936552
63		BU02_01	PM2.5	3.911073142	2.231531534	8.361860816	1.422656547	156	66.67059064	0		6.310202181			2.535683103	22.43324816		0.133059535	0.06534307	0.320098433	1.531768031	0	0	0
64		BU02_01	PM10	7.375166496	3.06436839	23.18406301	5.799591491	374	54.91777658	0		0.523144938			0	6.355331838		0	0	6.490176916	13.38459253	0	0	18.32897514
65		BU02_01	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	85	69.53600049	3.488134593		0.899884757			4.208565131	4.899112508		0	0	0	16.96830243	0	0	0
67		BU02_01	PM2.5	1.676174204	1.46088031	5.487058862	1.429388295	54	24.07173812	50.73373318		0			6.300008297	0		9.532666951	6.649470329	1.056372281	0.553783122	0.421862351	0	0.680363877
69		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	33	46.66391015	0		7.013130188			1.966334134	2.137352526		0	0	0	42.21926928	0	0	0
72		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	34	68.70827675	0		15.39003104			0	13.55302781		0	0	0.24449653	0	0.403743191	1.458540186	0.241870037
70		BU02_01	PM2.5	3.911073142	2.231531534	7.836770723	1.249592702	116	48.91474843	0		2.714397386			0	1.708652638		6.975273043	21.35601491	15.37225842	0	0	2.958668955	0
68		BU02_01	PM10	13.96811836	4.217198201	16.30738126	1.51502807	390	59.45001841	13.56812716		23.39488864			0.518216658	0.429933611		1.688230783	0	0.950570684	0	0	0	0
71		BU02_01	PM10	11.62147448	3.846676601	19.18218321	2.519561552	462	88.09411526	0		3.308452293			0	0		0	0	5.702476203	0	0	2.894961648	0
66		BU02_01	PM10	39.44596626	7.086900883	29.3686658	1.740026937	1431	41.41955078	2.324473858	9.955755621	10.85690781	12.3868905		0.419123517	0	9.382099658	0	0	0	1.199522521	0	0	12.05568984
74		BU02_01	PM2.5	0.558724735	0.84343964	3.399892046	1.646351232	45	0	73.69332314		0.802099891			0	22.46692032		0	0.612248853	0.145774509	0.362903927	0	0	1.916734502
73		BU02_01	PM10	30.5063705	6.232328401	24.40669703	1.553880496	863	66.80471897	0		0		12.30135038	0	17.00411588		0	0.716392929	0	0	0	3.173424304	0
76		BU02_01	PM10	9.721810381	3.518265684	12.16489968	1.211323251	323	44.51083839	26.35118961		0			0	0		0	0	0	0	0	29.13796306	0
78		BU02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	40	66.70399308	15.37168622		0.256799115			0.010607925	16.12650454		1.197475754	0	0	0.211958867	0.120976975	0	0
77		BU02_01	PM10	18.99664097	4.918055968	37.43612951	5.870771851	667	79.40911651	0		0			2.19423268	5.055432394		0	5.841602013	0	4.109066352	1.70171652	0	1.688839495
81		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	44.25920546	4.833523557		0			6.047551706	0.030265923		1.233847439	3.168622404	0	0	0	18.32784861	22.09913582
80		BU02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	49	63.60033751	1.031396631		0			0.263717282	14.93413001		0	0	11.47373915	8.696686476	0	0	0
82		BU02_01	PM2.5	1.676174204	1.46088031	6.383443719	1.934554864	70	38.58891129	25.83057284		6.893005222			0	13.42881769		2.380310558	6.139500812	1.336812507	0	0	0	5.402069166
84		BU02_01	PM2.5	4.134563035	2.294403878	8.810053244	1.493886438	146	72.90890813	0		1.136033516			3.833777085	0		1.354346052	1.487925928	0	0	0	19.27900761	0
85		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	28.20188999		0.026257196			0.035785945	0.053931447		0.825540163	2.45427452	1.373521984	0.232572318	0	0	66.79623127
86		BU02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	23	67.4611032	0		8.05195868			0.01854673	22.97545522		0.22269811	0.13656934	0.153204962	0.173461589	0.210211449	0.262450473	0.334330206
88		BU02_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	49	33.94527733	0		0			2.722117305	0		0	0	6.080416217	11.57682762	18.5521245	19.94552463	7.177715003
89		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	38	24.67345148	6.905669719		0.804657489			0.113680598	2.358936332		1.712375879	2.895271592	0	0	36.99924052	12.254069	11.28265336
87		BU02_01	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	73	34.66894925	0		13.93515468			0	0		5.782946572	6.368009746	29.26198542	5.319461599	0	0	4.663496837
90		BU02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	27	55.7679832	25.83574355		13.16658854			0.034266937	0.351995672		0	0	0	0	0	4.843417183	0
91		BU02_01	PM2.5	1.676174204	1.46088031	5.487058862	1.429388295	69	53.68105769	21.90636247		0.427484885			0.069742952	4.452022538		0	0	0	0	0	0	19.46332753
92		BU02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	18	90.80428481	0		0.949304178			0.03905854	6.860025227		0.263417396	0.282590603	0	0.361251086	0.440068264	0	0
93		BU02_01	PM2.5	2.123153991	1.644166543	6.306546055	1.490705263	81	53.13526988	0		0			0	0		0	0	7.52286762	34.11387205	5.227989703	0	0
94		BU02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	38.47485781	44.72675622		0.027093058			0.812366884	14.91452456		0.17772445	0.092712883	0.104160095	0.118087023	0.143426878	0.179396302	0.228881184
95		BU02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	8	93.58734488	0		0			0.085028226	0.153581251		0.552798342	0.594032044	0.668658176	0.761399558	0.930847134	1.169339474	1.496978756
96		BU02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	17	0	45.38228214		5.022504926			0.021215134	48.31032753		0	0	0.504270475	0.20561358	0.247151288	0.306633534	0
