Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
76		GB03_03	PM2.5	3.799328195	2.199421492	6.940385866	1.008905661	97	43.70045066	8.29968527		0		0.540851709		0			20.52105963	3.285295144	12.53728867	2.259482071	6.121822447	2.734064497	0
77		GB03_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	20	66.14488959	0		0		5.24279438		0.719074626			2.518992685	2.70058699	3.027463891	3.442686051	4.19937633	5.26990518	6.734226644
78		GB03_03	PM10	8.269126071	3.244777082	10.18648259	0.998571155	155	52.15110779	18.08343679		0		10.76094508		2.661184035			13.76410723	2.579222806	0	0	0	0	0
80		GB03_03	PM10	20.22583539	5.074675698	19.10528555	1.436120011	267	30.25352061	10.90772748		1.036784053		7.860036194		0			0	1.456510741	5.81689328	25.80805123	0	2.793285437	14.06718493
79		GB03_03	PM10	8.045636177	3.200628398	12.61309211	1.573522222	146	18.51017773	26.10634565		0.440716697		0		0.898610521			0	0	0	0	16.51180238	6.008849293	31.52350187
84		GB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	69.94180083	0		0		0.432630442		0.73977313			2.601591125	2.791384235	3.130019456	3.562282398	4.350325093	5.463728681	6.986459345
83		GB03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	0		0		80.77338338		0.538763404			1.755326241	1.861415431	2.071796916	2.332362533	2.800001204	3.472319245	4.394637048
85		GB03_03	PM2.5	2.793623673	1.88598837	6.120898673	1.067216704	56	41.19153619	3.397682309		0		11.40495464		0.221980875			0	0	0	0	0	16.82662815	26.95721984
87		GB03_03	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	31	0	22.10729271		0.623925123		10.39706096		9.972894937			18.52052361	38.37829828	0	0	0	0	0
86		GB03_03	PM2.5	4.358052929	2.35559872	7.836770723	1.121429348	85	64.28623796	0		16.98965728		0		2.797682583			0	0	0	0	0	15.92641473	0
89		GB03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	21	0	0		5.516537651		0.036028484		0.0527456			0	0	0	94.39468384	0	0	0
88		GB03_03	PM10	22.68422422	5.374239604	19.55347798	1.341263906	477	19.07882541	0	41.53774083	0		23.60713333		1.459523011			4.629546031	0	0	2.66945716	2.203212306	0	4.814565554
90		GB03_03	PM2.5	1.45268431	1.360005555	4.513776341	1.116089345	26	52.59292126	10.00598446		5.383578315		9.677945077		22.33956009			0	0	0	0	0	0	0
91		GB03_03	PM2.5	2.570133779	1.808976496	6.306546055	1.231452174	56	43.01126003	0		1.390916295		5.008078739		1.148096099			1.98278781	3.661335632	23.33855927	7.978998125	6.552816927	3.008171543	2.918988839
