Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
30		AG02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	35.09044647	53.4060359			0.788055453		0.147423637		0.259658811				0.925841834	0.994047523	1.117540989	1.271876879	1.553533319	1.950383931	2.495148778
29		AG02_03	PM10	24.24865348	5.556468709	21.16060031	1.469462396	670	36.52183414	1.937921904			0	10.07105857	0.32572106		0		15.97611755	25.30999482	0	0	1.375074405	2.114151232	1.93765536	0	4.430475459
31		AG02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	37.31086552	12.434306			8.108084649		0.065605191		0.030157217				4.243697599	0	0	37.34143078	0	0	0.46584825
35		AG02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	29	48.66726696	28.75326872			18.28031391		0.454685511		1.000027824				0.052786636	0	0	0.612185383	0	2.179466374	0
32		AG02_03	PM2.5	1.899664097	1.555225852	5.595808581	1.311713598	72	64.26837444	10.71989983			4.7084447		0.430633454		0				13.27056587	0	0	6.602088362	0	0	0
33		AG02_03	PM10	15.19731278	4.398842985	16.67867602	1.456620707	302	31.47901297	0.228325138			0	14.15773183	0		0			47.31251597	3.221508861	2.397942171	0	0	0	0	1.202967856
34		AG02_03	PM2.5	3.687583248	2.166835669	7.388578295	1.178067194	178	40.92385769	2.151293494			0	35.87560952	0.899040699		0.382389291				5.466379225	4.520358145	6.039760634	2.476911061	1.264403574	0	0
36		AG02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	2.387959883	6.232052296			9.833198041		0.00999414		3.357066959				0	9.351279587	20.64019293	44.75812614	3.249662369	0	0.180466636
37		AG02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	35	0	19.89858449			13.16418797		0		62.39235401				0.797594339	0.413662987	0.460472144	0.517732324	0.620126259	0.766748516	0.968543906
39		AG02_03	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	55	38.25618625	0			14.64796513		0		1.032850798				0	1.352000888	0	0	0	25.76287985	18.94812435
38		AG02_03	PM2.5	3.017113566	1.959976608	6.569091101	1.138175015	153	72.85448313	8.416970074			0		1.85922496		0				10.45461372	6.063500047	0	0.310523226	0	0.04069453	0
40		AG02_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	78	49.80265498	6.688424945			11.03438661		0		0				0	0.503765652	0	0	0	31.97076917	0
42		AG02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	67.56419539	15.4117763			5.066208169		9.973205626		0.049060304				0.174676103	0.187267852	0.210690196	0.239276025	0.291429274	0.36530525	0.466904603
44		AG02_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	47	47.25194871	29.28359807			4.718970507		4.528306797		0.015456999				3.364266083	0	0	10.83745211	0	0	0
46		AG02_03	PM10	30.5063705	6.232328401	22.35138227	1.303191888	1278	44.15960014	2.934828959			0.375607586	41.86238348	0		0.014864991				0.510617252	0	0.999302883	3.500265256	0	5.64254038	0
45		AG02_03	PM10	29.94764577	6.174992054	21.64064479	1.244422462	954	55.09682894	0			13.56563717	17.78545231	0.018015844	8.094003052	0				3.449922055	0	0	0	0	0	1.990147121
47		AG02_03	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	94	47.9146868	0			1.922434196	35.43843031	0		0				8.048226684	6.160233915	0	0.515990751	0	0	0
49		AG02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	24	77.81353593	0			0.060402305		0.016310498		20.46433091				0.190604606	0.121825002	0.136799668	0.163850747	1.032350957	0	0
48		AG02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	45.40331662	30.6976825			1.591919549		0.023000603		2.590668015				0.139238976	0.237087742	0.796159822	0.189718825	0.903375633	2.630014159	14.79782164
50		AG02_03	PM2.5	1.564429257	1.411344463	5.487058862	1.531487459	86	57.88346529	0			6.248868629		0.825164001		0.55677346				12.13016436	8.451582491	0	0	0	13.90398741	0
51		AG02_03	PM2.5	4.246307982	2.325202624	8.470610535	1.344646339	175	44.36055124	0			24.01430458		0.758346403		0				5.464679748	6.067525595	8.139285445	0.781087996	4.107166454	0	6.307056546
53		AG02_03	PM2.5	2.011409044	1.600314199	5.672706244	1.27312289	96	59.3853116	0			0		0.130162388		34.7880125				0.022865257	0.167254044	0.162235997	0.030795429	0	0	5.313348398
54		AG02_03	PM2.5	4.69328777	2.444520318	7.836770723	1.041327252	216	83.53323936	0			12.99600154		0		0				0	0	0	0	0	0	3.470762074
55		AG02_03	PM10	40.11643594	7.146875725	30.03435766	1.789387876	1306	41.53263867	4.790071025			14.9648726	20.10683566	0.092309684	7.830002159	0.148739177				0.581595954	2.56363824	2.161057107	2.088765427	0	3.139471263	0
57		AG02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	48	31.19105697	8.817774802			2.438441291		3.448076174		5.767049268				0.873350631	3.573191538	15.95235616	7.683974504	10.29094607	0	9.963782877
58		AG02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	26	16.37549698	0			0.114146352		0		7.365357131				47.12270498	24.91595894	0	4.10634093	0	0	0
