Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
65		CM03_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	38	11.9890891	14.44969028		1.623022184		14.52372223	10.85420549			0	11.69231012	11.23467609	23.63329828	0	0	0
66		CM03_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	38	43.76458824	0		0		0	0			0.417965138	1.379015297	0	0	0	10.8753711	43.56305897
67		CM03_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	58	53.83296609	27.76244283		0.305554899		0.464766752	14.51354176			0	0.037264513	0	0	0	0	3.083463386
68		CM03_02	PM10	24.36039843	5.569256916	34.74697494	3.944025834	805	52.76418924	0		2.902677469	26.1306107	1.508925669	0			6.490411609	3.058577329	0	4.291470721	0.513600372	0.364277232	1.975255646
72		CM03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	59.17959809	0		18.70756447		0.01462378	20.9623903			0	0	0.372636528	0.132915098	0.16098601	0.213344279	0.255940668
73		CM03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	25.66444874	4.419375211		14.16205019		0.013223059	0.021126964			30.47623634	23.2994929	0	1.94404535	0	0	0
74		CM03_02	PM10	8.939595752	3.373758561	12.79873949	1.458164949	308	47.99610674	16.36266857		9.832852334		1.650910638	0			10.08077487	1.31329	1.608782634	0.187236967	0	10.96738726	0
75		CM03_02	PM2.5	2.458388832	1.769213915	5.595808581	1.013596872	93	62.26698756	0		0.066844496		0	19.77062076			0	10.29165238	4.241478071	0	0.427245395	0	2.935161628
77		CM03_02	PM2.5	2.90536862	1.923338301	8.284963152	1.880052846	96	18.14863831	17.00716317		20.99133581		0.543327071	0			3.511383757	20.51782906	6.375674903	12.90464252	0	0	0
79		CM03_02	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	36	24.69631582	0		2.104733884		0	0			36.16795838	0	6.071035564	23.67134839	7.288601249	0	0
