Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		AU02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	20	0	41.94310606		0		50.51267743	0.200427184	0.678041484	0.722423382	0.808016211	0.913088489	1.102890912	1.373586711	1.745754667
3		AU02_03	PM10	12.06845427	3.919953216	15.30224668	1.544005648	398	49.89222288	13.36392611		8.228064328		4.555584863	4.117542133	0	0	0	8.04496184	0	0	11.79769263
2		AU02_03	PM10	70.62280644	9.482602487	45.01035519	2.282811461	1804	60.17602682	0		3.172407299	16.02632403	1.535894442	10.62181145	0.90743741	3.392289951	4.022839665	0.144968112	0	0	0
4		AU02_03	PM2.5	4.358052929	2.35559872	7.836770723	1.121429348	139	39.08057511	20.55095434		0		13.08137923	0	0	0	0	2.084016427	2.622867562	8.571029454	14.00918216
5		AU02_03	PM10	6.592951867	2.89731031	9.290097728	1.041719505	281	25.52054822	1.243118942	26.2568295	0		29.95167673	3.27940993	0.917677395	0	0	0	5.250003934	2.031924203	5.548824742
7		AU02_03	PM2.5	3.464093354	2.100147767	8.022418106	1.478465292	124	13.5699898	28.41521204		0		30.93758225	0	13.60211968	4.501438513	0	0	4.382675141	4.590977728	0
6		AU02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	50	25.53552985	0		1.381867006		9.694521129	0.009987385	20.61451375	5.809369311	0	0	0	27.11444497	9.839767218
10		AU02_03	PM2.5	3.464093354	2.100147767	6.492193438	0.968240961	93	13.15699518	20.59593797		1.050391421		26.66268349	0.246592658	2.564708702	0	8.646178246	0	18.15871447	3.621882573	5.295920745
9		AU02_03	PM2.5	1.676174204	1.46088031	4.96196877	1.168904516	46	20.00394315	6.250929832		0		0.008140546	0.012632654	6.827193499	8.555312455	41.06304944	6.327461451	0	10.95133424	0
8		AU02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	29	0	0		0		13.21138293	1.825124212	0	29.0038377	8.093956113	0	0	3.618926555	44.24677193
11		AU02_03	PM2.5	3.687583248	2.166835669	8.09931577	1.415614378	143	50.45850277	9.088674188		1.327963267		6.174010038	1.874093339	0	0	0.112075137	0	0	15.31354636	15.65112919
