Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
128		OC02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	8.386960626	0			0		0.011983965		1.364971232					19.66400295	54.99974489	0	0	0	11.90620586	3.666128218	
131		OC02_03	PM2.5	3.24060346	2.03127164	6.940385866	1.182854913	137	20.91094255	20.39623857			2.697385103		0		0					36.40605509	19.58938092	0	0	0	0	0	
126		OC02_03	PM2.5	1.78791915	1.508790696	7.01728353	2.191695967	60	32.9348892	0			24.79939163		0		0					9.107538313	2.090686746	0	12.89870143	12.67308742	4.589291289	0.906416215	
130		OC02_03	PM10	5.587247345	2.667190332	13.40072725	2.557696292	198	52.8375566	20.48695534			19.71295923		0.529216044		4.653977975					1.020151284	0	0	0	0	0	0.759181147	
132		OC02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	52	81.83785081	0			14.68924284		0		0.020959134					0	0	0.090420613	0	0.506953802	2.854573168	0	
133		OC02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	0	56.7628324			2.493410744		0.024613953		0.039690748					0	1.095409691	0	0	0	0	39.58404064	
136		OC02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	47	75.06375313	0			1.070221607		0		0.043619212					0	0	0	2.890766785	14.69903439	0	6.23260662	
137		OC02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	27	90.84793329	0			2.681571059		0.0327769		0.343287759					0.213333615	0	0	5.432675034	0	0.448418595	0	
138		OC02_03	PM10	48.05032717	7.821737447	35.3489627	2.069412819	1740	47.31145203	0			15.12391716	18.62686723	0.373559468	8.921807259	1.069506537					5.109958723	3.179715201	0.283224275	0	0	0	0	
139		OC02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	28	38.36416602	30.96237779			0.326731382		0		7.908479124					0	0	0	0.422417792	2.607242763	0	19.40858811	
140		OC02_03	PM10	5.475502398	2.640383718	8.995700627	1.176078065	217	38.52919042	0.047012587			9.201022238	21.2867111	0		0.390315382					6.141215935	7.007142901	11.75016612	0	0	0	5.647224188	
142		OC02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	13.02053034	19.62388009			0		0.010051568		0.015413154					5.116926134	0	0	0	0	17.72170961	44.49149072	
144		OC02_03	PM2.5	2.346643885	1.728536893	6.492193438	1.429308085	106	26.94494128	8.662469685			2.124065161	50.04271865	0.852663815		3.79018411					4.226487875	3.356479853	0	0	0	0	0	
143		OC02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	0	0			0		0		0.025666101					0	8.379446715	19.82081234	0	0	0	71.77408338	
