Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		CM03_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	72	60.38523316	0	0			2.548617683	8.098744601		0	0	0	0	0	28.96739841	0
2		CM03_03	PM2.5	2.793623673	1.88598837	6.120898673	1.067216704	98	56.1766088	16.48105979	0.542466203			0	9.685353935		0	0	0	7.544433326	2.494237199	5.793939903	1.281897258
3		CM03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	35	30.43503761	47.34699726	0.646610651			7.926027477	1.771907322		0	0	5.150986463	0	1.769108884	3.744396567	1.208926085
4		CM03_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	18	69.57816482	10.99009663	1.757095382			4.931858182	11.97646856		0.113525183	0.069768017	0.078406924	0.088911457	0.108030159	0.135167304	0.17250363
5		CM03_03	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	62	38.45258951	29.53023016	2.200357802			6.036568806	4.028673097		0	0	0	19.75157708	0	0	0
6		CM03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	46.53528631	44.92732286	7.578193396			0.012898358	0.023104752		0.083003973	0.089076621	0.100323698	0.114019681	0.139051233	0.174487836	0.223224098
8		CM03_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	26	79.35156822	7.179362327	11.96011975			0.243552844	0.589497713		0.299199903	0.165237754	0	0.211457838	0	0	0
9		CM03_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	46	40.64739943	0	9.747240692			0.0057217	0.009122542		0	0	8.320124447	0	0.764848804	7.761140168	32.74440765
7		CM03_03	PM2.5	2.234898938	1.68687928	5.487058862	1.072041222	126	47.0584631	0	8.393752575	22.22907096		0	1.135794632		4.799233004	5.358474329	2.138333209	0	8.139833063	0.747041311	0
10		CM03_03	PM2.5	1.340939363	1.306651072	4.590674005	1.250644575	65	63.97944093	0	8.874180913			0.934127253	14.15611953		0.193586189	0	0	0	0.434212806	11.42833009	0
11		CM03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	31	68.80438328	0	0			0.857541244	26.4388144		0.427152077	0.160054315	0.081244309	0.073060155	0.505802408	1.749737002	0.902214367
13		CM03_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	72	51.29200816	15.83248228	3.071083874			0	8.410573751		9.353569895	7.63707608	0	0	0	3.071838431	1.331372373
14		CM03_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	26	37.29969561	2.104952745	6.708978862			0.007941703	0.010514428		0.647565583	1.397034619	2.360770851	2.349676378	0	37.70593703	9.406933933
16		CM03_03	PM2.5	4.805032717	2.473450559	8.208065488	1.115771881	122	69.20790076	0	0			0.496775191	18.23644489		8.82537365	1.048920956	0	0	2.184581757	0	0
18		CM03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	95.6951499	0	3.110331856			0	0		0.107086438	0.115015311	0.129607762	0.147412787	0.179987564	0.226039207	0.289364625
20		CM03_03	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	15	0	19.14353967	0			0.606017001	49.18962419		0	0	0	31.06081188	0	0	0
17		CM03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	51.39757395	32.53790438	0.148189871			0.713104056	0.108667626		6.52416423	0	0	0	0	8.570388705	0
21		CM03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	50	52.41222978	0	0			1.27589684	0		0	0	0	0	0	3.870490566	42.44137704
23		CM03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	37	38.89968395	50.1347065	0			0.029844695	10.27590334		0.097500643	0.059962762	0.067433406	0.076515216	0.093066279	0.116543972	0.148842065
22		CM03_03	PM10	21.6785197	5.253755662	17.76070826	1.157926715	690	43.74033809	3.320585564	0.501978071	16.14489406		0	1.486641727	19.4846347	0	7.397666574	3.015896305	3.52153182	0	1.385833975	0
24		CM03_03	PM2.5	2.011409044	1.600314199	7.279828576	2.096679471	90	42.64970124	0	0			1.207141299	12.1771954		6.538718939	0	0	0	23.81782979	10.80474332	2.804671973
25		CM03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	39	44.14465427	0	15.33766538			0.104243588	0		17.90921539	6.529442221	0	0	5.437050015	10.53772569	0
29		CM03_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	86	38.90711069	0	1.314162649			0.192880817	0.087437552		3.944880888	24.28960502	12.15486303	15.30216783	3.538695723	0	0.268189725
28		CM03_03	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	42	63.56189251	0	13.56814951			0.027322065	3.351592645		0	0	0	0	0	19.49103773	0
32		CM03_03	PM2.5	2.793623673	1.88598837	6.940385866	1.372111699	87	43.3521688	2.964699455	1.666205563			1.939284615	0.046301799		2.460973337	9.439425915	6.499046087	0.419527339	4.20903787	0	27.00332999
30		CM03_03	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	47	52.68042088	0.727339881	8.192068338			0.004804506	3.257203847		4.95801717	9.259337187	0	0	20.92080861	0	0
33		CM03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	30	51.64827108	19.36213672	0			1.301540527	0.012141981		1.073194016	3.972546384	0	0	0	22.63017148	0
34		CM03_03	PM2.5	1.78791915	1.508790696	5.224513816	1.214881794	66	30.37927151	17.72182584	2.762450837			4.362223297	0.263737701		3.088306822	4.299360886	18.61812025	18.46433431	0.040358672	0	0
31		CM03_03	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	93	37.07277179	0	3.584589437			0	1.69868581		31.95646703	12.45076284	0	0	0	13.2367149	0
35		CM03_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	54	62.56653666	17.43595749	0			0	19.99751031		0	0	0	0	0	0	0
36		CM03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	37	61.54040098	0	7.714820653			2.151262201	9.357829392		0.211185194	0	0	0	0	7.332417369	11.69207245
38		CM03_03	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	90	50.00939965	0	1.561420597			2.941266261	6.822562963		0	2.894451655	15.63115269	16.98516756	0	3.154572099	0
37		CM03_03	PM2.5	3.352348407	2.065996747	7.202930912	1.231571091	133	36.27811968	21.22729868	14.19491917			0	0		19.24880892	7.887747884	0	0.700958306	0	0.462153926	0
39		CM03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	77.29947567	0	17.19850302			0.260759424	0.128878059		0.460028183	0.493607856	0.555293681	0.631334726	0.770151289	0.966240931	1.235724892
42		CM03_03	PM10	7.375166496	3.06436839	10.8203224	1.263277348	204	52.17656493	9.818416834	7.66126439			0	1.060368773		0	0	0	0	0	1.056798827	28.22659314
41		CM03_03	PM2.5	2.346643885	1.728536893	5.487058862	1.02099164	102	47.20719755	0	11.79309487			0	10.25249213		0.862187985	0.422544219	0.148365425	0.304440851	0	24.57701117	4.432667792
