Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		MGL03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	22	0	19.31043714		60.3661716		1.395146642	0.491658924	1.685967483	1.800846122	2.015861683	2.284086496	2.771189064	3.464250267	4.414393008
8		MGL03_01	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	27	19.8354125	15.52217603		0		18.06723624	0.010872767	0	0	0.087859039	0	34.15266275	10.64405963	1.679727621
7		MGL03_01	PM10	10.9510048	3.734066465	13.50947697	1.326212867	467	27.04027891	4.788444936	32.52032697	0		29.62959111	2.77155973	3.249803558	0	0	0	0	0	0
11		MGL03_01	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	86	32.87425339	27.32976079		0		0	4.08619754	20.55021375	10.5434075	0	4.616167024	0	0	0
12		MGL03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	49.17298555	25.2624929		5.354758352		0.0082648	6.497059762	0	0	0	0	0.471524149	13.23291212	0
14		MGL03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	40.81477225	0		0		0.940148905	1.512150653	5.168274045	5.526071787	6.170175597	7.002351433	8.520542085	10.69491506	13.65060061
13		MGL03_01	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	121	36.87020242	33.14480186		0.358556164		5.144850537	0	1.801810786	0.428584591	6.484546512	0	3.376414254	4.595384374	7.794843614
17		MGL03_01	PM10	38.44026174	6.995974653	26.46201179	1.449604462	1172	55.74889183	0		0		0.660234038	37.08203733	0	0	1.239935122	2.769044973	2.499852143	0	0
19		MGL03_01	PM10	11.28623964	3.790789709	21.31439564	3.203221084	400	57.64845014	6.2824063		12.28551418		0.39791977	14.50184882	0	0	0	1.84434969	2.807779796	4.231739044	0
21		MGL03_01	PM2.5	4.581542823	2.415243569	8.918802963	1.381629268	173	49.46121573	0		1.48928389		0.816800166	25.47978759	0	0	6.807298213	4.317444563	0	7.210738212	4.417421296
20		MGL03_01	PM10	31.84730987	6.367829639	22.69082498	1.286524184	1332	48.84233177	0		2.214172482	41.87786877	0.189946836	0	0.847104657	1.480090804	0.167262589	0	0	0	4.381222278
23		MGL03_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	29	24.90673363	0		0		6.05391264	0.012261975	10.71611568	11.8662931	1.773192547	0	0	44.67149377	0
28		MGL03_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	69	15.18151015	9.147950262		4.123256356		10.82712486	2.128131688	7.694925368	35.11822224	8.322314918	7.456559688	0	0	0
29		MGL03_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	20	2.359088697	59.09448266		0		0.027060046	22.61169851	4.96644862	0	0	0	0	10.94121784	0
