Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
55		AM02_01	PM10	5.363757451	2.613302144	8.470610535	1.064511685	186	64.89124298	10.05072445		16.47926122		3.126709163		3.44283767			0	0	0	0	0	0	2.009226009
56		AM02_01	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	47	17.22006798	3.696544841		2.150671557		0.231733476		5.245037004			3.179387003	12.48278022	14.03729469	17.91841537	2.073204145	11.59396544	10.17090306
59		AM02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	0	38.41632307		0		0.021796706		59.80790257			0	0	0.539803272	0.218382291	0.261824182	0.32409844	0.40987134
58		AM02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	17.32839793	4.66907993		0.312945317		0.008485222		0.012763316			0.873456523	0.362467649	0	0	32.50937462	15.51005095	28.41296792
57		AM02_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	27	0	59.52324271		33.17103684		5.109776556		0.055385649			0.194389955	0.208042073	0.233719707	0.265053101	0.322073535	0.402989099	0.514297513
60		AM02_01	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	43	51.71456337	0		37.05277145		0		0.026477844			0	0	4.784312099	0	2.178098261	3.157291561	1.086486597
62		AM02_01	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	118	40.45542479	8.911719918		0	37.16824055	4.033011943		0.146830804			0	4.724413902	0	0	4.56035845	0	0
61		AM02_01	PM2.5	1.676174204	1.46088031	6.754738484	2.166147683	88	44.52737272	27.13029087		7.426922023		1.293576229		0			0	0	0	19.62184459	0	0	0
63		AM02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	59.39363837	0		15.77733904		0.023715504		24.8053059			0	0	0	0	0	0	0
65		AM02_01	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	92	51.64917111	10.73152721		26.31966472		0		0			0	0	6.861274689	3.691446409	0.746914744	0	0
66		AM02_01	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	49	60.16346216	13.96813393		1.505155675		0.007941419		2.295741625			0	0	13.97617906	0	2.482057363	3.536969051	2.064346336
64		AM02_01	PM10	6.034227133	2.771825501	9.923937539	1.298782795	282	46.40044868	0		0.820744224	40.27761221	0		0			8.201807737	1.01638753	0	0	0.073376246	0	3.209618106
68		AM02_01	PM10	8.827850805	3.352606261	11.71670725	1.237503139	347	44.79504526	10.73824093		12.74496317	17.26565361	0		3.617203608		5.629882962	0	0	0	5.209003016	0	0	0
67		AM02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	39	38.23984861	14.5508334		1.066873595		0		0.013316839			0.193148362	27.93292403	0	18.00305694	0	0	0
69		AM02_01	PM2.5	3.017113566	1.959976608	8.470610535	1.892465218	157	44.25709546	4.558577016		7.732382417	23.98906648	1.728931442		0			1.665846072	14.71423656	1.353866421	0	0	0	0
73		AM02_01	PM10	7.59865639	3.110451704	10.37212997	1.126650542	228	54.75224853	0		5.632216483	18.52640808	3.069278225		0.809616782			0	0	0	3.845669702	1.370970719	0	11.99359819
72		AM02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	17	20.71492225	54.66197729		20.72346509		0.024360628		2.191387489			0.152244733	0.163134222	0.183469581	0.208267965	0.253482512	0.317569193	0.405719085
70		AM02_01	PM10	5.698992292	2.693730193	10.0008352	1.396576108	243	59.74069238	0		7.406137139	26.3739109	0		0			1.523835491	0.369756459	0	0	2.626022883	1.959645003	0
74		AM02_01	PM10	5.698992292	2.693730193	9.366995392	1.225159634	365	52.50834823	0		3.537712246	36.39574945	0.081889116		0.909504388			0	0	0	0	3.638416901	2.168981731	0.759383803
75		AM02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	37	52.21633315	0		12.00625375		0		0.015368585			0	6.536062062	2.142012864	0	19.42279488	6.18169643	1.479484979
76		AM02_01	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	74	35.15248299	34.46777761		12.45631278		3.60164158		0.394304469			0	0	4.639751464	3.138406202	2.035773173	1.571732573	2.541814558
78		AM02_01	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	137	49.38872159	0		7.842691243		1.142401062		8.39926973			1.65083278	2.606624179	2.358406782	0	10.54138616	7.814797014	8.254868537
79		AM02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	40	0	0		2.716159821		0		13.68029714			0	0	0.191076589	8.007508516	17.5193429	0	57.8856051
80		AM02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	12	25.11065304	27.81536281		0.120632839		0		0.015741568			3.45113948	1.279216912	0	0	0	14.38126564	27.8259933
81		AM02_01	PM2.5	2.234898938	1.68687928	6.569091101	1.53653627	103	53.78322601	14.31021541		22.52064049		0		9.100355953			0	0	0	0	0	0	0.285564945
83		AM02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	16	65.06600976	2.37686187		31.08846247		0.020713807		0			0	0	0.154925149	0.367936655	0.313675636	0.268382975	0.343031506
84		AM02_01	PM2.5	2.346643885	1.728536893	6.940385866	1.633466308	88	64.5336628	0		29.4387579		0		1.830773056			0	0	0	0	4.196812958	0	0
85		AM02_01	PM2.5	2.681878726	1.847883667	6.120898673	1.111684066	93	39.52277303	17.01121926		5.034120753		5.788590387		10.04360691			15.6727463	0.174546684	0	6.752388179	0	0	0
86		AM02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	26	48.41523767	29.77279723		0		0.008215303		0.089806173			0	2.099179663	0.059719902	0	0	19.55504268	0
87		AM02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	33	27.6314199	22.01676816		0		0.010654425		0.017282419			0	0	0	50.3238678	0	0	0
88		AM02_01	PM2.5	0.893959575	1.066876133	3.322994383	0.982950097	46	37.01866865	0.944733527		4.193781316		2.581035905		0.09403947			8.989156038	21.31826282	11.94606647	12.91426569	0	0	0
89		AM02_01	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	28	60.79269648	16.23719186		0		0.010986639		0			0	0	0	2.825582586	14.46375549	0	5.669793487
90		AM02_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	44	20.27052045	0		19.22968626		0		1.021623518			27.76655853	15.07695913	0	0	0	14.45268989	2.181964368
92		AM02_01	PM10	5.698992292	2.693730193	9.738290157	1.324211903	179	28.8313061	10.97752601		12.5965029		0.036104058		2.748567052			5.397330597	16.52458906	6.309737265	7.024692744	0	0	9.55363065
91		AM02_01	PM2.5	1.229194416	1.251023157	4.328128958	1.212746254	42	55.20159602	27.75394619		16.27550572		0.044647782		0			0.065224775	0.069965638	0.078776455	0.089494511	0.109072996	0.136807212	0.174956291
93		AM02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	31	71.1114943	27.40707695		0		0.021902731		0			0	0.154394854	0.17395562	0.197869912	0.241581793	0.303369784	0.388344913
94		AM02_01	PM2.5	1.78791915	1.508790696	5.038866433	1.130076784	75	34.8976016	28.28761637		24.60126281		0.006626794		1.837334596			0	0	4.717139527	4.028109834	0	1.029425021	0.594878383
97		AM02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	45	45.71357369	0		9.857817739		0.006003732		0.012594214			29.58594561	11.88824549	0	2.93582622	0	0	0
98		AM02_01	PM2.5	2.570133779	1.808976496	6.306546055	1.231452174	87	39.02477622	34.52085555		0.400548661		0		0			1.26449205	1.446590386	1.010122616	3.000108153	0	0	19.33250129
100		AM02_01	PM2.5	0.670469681	0.923941834	3.771186811	1.687979177	35	3.035221621	0		23.16337675		18.59672219		0			0	0	0	0	8.194333315	42.83329844	4.177049547
102		AM02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	48	43.28199625	0		6.717924774		0.988939311		0			0	0	0.272534438	9.955246001	13.73743266	25.04592836	0
99		AM02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	19	54.93635535	0		6.898881495		0.010075598		0.016757597			0	0.286820135	22.83814102	15.01297504	0	0	0
103		AM02_01	PM2.5	1.117449469	1.192803778	5.563956525	2.204599468	76	69.34482455	2.239463851		10.9701857		0		7.128700614			5.98724708	0	0	3.099329211	1.230247039	0	0
104		AM02_01	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	48	50.73753595	21.07167095		12.52581328		0.093799364		0			0	0	6.618888676	1.301012561	0	7.651275396	0
105		AM02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	21	55.56790233	31.27182126		0		0		2.899764292			2.187438495	1.418133918	0.24042502	0.273126364	0.334750372	0.42007342	5.386567488
106		AM02_01	PM10	8.157381124	3.22277834	10.37212997	1.049482696	280	57.92022347	8.391360193		14.28301781		0		2.667308226			0	0	0	0	0	0.458260905	16.27982408
107		AM02_01	PM2.5	2.123153991	1.644166543	5.858353627	1.286351947	65	48.55262339	23.17125946		5.718567967		0.122853718		0			0.033648644	0	2.719020471	5.142253637	0.37016382	9.877823293	4.291791841
108		AM02_01	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	37	53.79351974	26.47019625		18.5928598		0.009105138		0			1.134326216	0	0	0	0	0	0
109		AM02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	60.83105206	6.451899558		31.01529777		0		0.042159299			0.14987071	0.160641735	0.180715928	0.205197185	0.24985699	0.313135795	0.400173198
